"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Abalone","lr","basic",1,0.8,0.5,0.96551724137931,0.615384615384615,0.598337950138505,0.979014598540146
"2","Abalone","lr","SMOTE",1,0.538461538461539,0.875,0.951724137931034,0.666666666666667,0.642227705322524,0.983576642335766
"3","Abalone","lr","Phantom",1,0.8,0.5,0.96551724137931,0.615384615384615,0.598337950138505,0.980839416058394
"4","Abalone","lr","basic",2,0.5,0.25,0.944827586206897,0.333333333333333,0.307875894988066,0.95985401459854
"5","Abalone","lr","SMOTE",2,0.272727272727273,0.75,0.875862068965517,0.4,0.347173586793397,0.940693430656934
"6","Abalone","lr","Phantom",2,0.666666666666667,0.5,0.958620689655172,0.571428571428571,0.550155118924509,0.960766423357664
"7","Abalone","lr","basic",3,0.666666666666667,0.5,0.958620689655172,0.571428571428571,0.550155118924509,0.981751824817518
"8","Abalone","lr","SMOTE",3,0.444444444444444,1,0.931034482758621,0.615384615384615,0.583572659391154,0.981751824817518
"9","Abalone","lr","Phantom",3,0.571428571428572,0.5,0.951724137931034,0.533333333333334,0.507998061076103,0.978102189781022
"10","Abalone","lr","basic",4,1,0.625,0.979310344827586,0.769230769230769,0.759002770083102,0.960766423357664
"11","Abalone","lr","SMOTE",4,0.333333333333333,0.75,0.903448275862069,0.461538461538462,0.417001723147616,0.958029197080292
"12","Abalone","lr","Phantom",4,1,0.75,0.986206896551724,0.857142857142857,0.850051706308169,0.968978102189781
"13","Abalone","lr","basic",5,0.75,0.375,0.958620689655172,0.5,0.48090692124105,0.937956204379562
"14","Abalone","lr","SMOTE",5,0.25,0.5,0.889655172413793,0.333333333333333,0.280397022332506,0.860401459854015
"15","Abalone","lr","Phantom",5,0.8,0.5,0.96551724137931,0.615384615384615,0.598337950138505,0.949817518248175
"16","Abalone","lr","basic",6,0.571428571428572,0.5,0.951724137931034,0.533333333333334,0.507998061076103,0.960766423357664
"17","Abalone","lr","SMOTE",6,0.5,0.875,0.944827586206897,0.636363636363636,0.608900876601484,0.964416058394161
"18","Abalone","lr","Phantom",6,0.571428571428572,0.5,0.951724137931034,0.533333333333334,0.507998061076103,0.966240875912409
"19","Abalone","lr","basic",7,0.5,0.375,0.944827586206897,0.428571428571429,0.400206825232679,0.914233576642336
"20","Abalone","lr","SMOTE",7,0.368421052631579,0.875,0.910344827586207,0.518518518518519,0.477983937967322,0.957116788321168
"21","Abalone","lr","Phantom",7,0.571428571428572,0.5,0.951724137931034,0.533333333333334,0.507998061076103,0.927919708029197
"22","Abalone","lr","basic",8,0.333333333333334,0.25,0.931034482758621,0.285714285714286,0.250258531540848,0.893248175182482
"23","Abalone","lr","SMOTE",8,0.285714285714286,0.5,0.903448275862069,0.363636363636364,0.315576534052597,0.835766423357664
"24","Abalone","lr","Phantom",8,0.333333333333334,0.25,0.931034482758621,0.285714285714286,0.250258531540848,0.881386861313869
"25","Abalone","lr","basic",9,0.6,0.375,0.951724137931034,0.461538461538462,0.437673130193906,0.971715328467153
"26","Abalone","lr","SMOTE",9,0.411764705882353,0.875,0.924137931034483,0.56,0.524306591112436,0.971715328467153
"27","Abalone","lr","Phantom",9,0.6,0.375,0.951724137931034,0.461538461538462,0.437673130193906,0.976277372262774
"28","Abalone","lr","basic",10,0.625,0.625,0.958620689655172,0.625,0.603102189781022,0.950729927007299
"29","Abalone","lr","SMOTE",10,0.368421052631579,0.875,0.910344827586207,0.518518518518519,0.477983937967322,0.957116788321168
"30","Abalone","lr","Phantom",10,0.555555555555556,0.625,0.951724137931034,0.588235294117647,0.562688496337786,0.946167883211679
"31","Abalone","lr","basic",11,1,0.375,0.96551724137931,0.545454545454545,0.531351001939238,0.872262773722628
