"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Abalone","nb","basic",1,0.181818181818182,0.5,0.848275862068966,0.266666666666667,0.202101050525263,0.777372262773723
"2","Abalone","nb","SMOTE",1,0.128205128205128,0.625,0.744827586206897,0.212765957446808,0.133419479890164,0.758211678832117
"3","Abalone","nb","Phantom",1,0.166666666666667,0.25,0.889655172413793,0.2,0.14327917282127,0.77007299270073
"4","Abalone","nb","basic",2,0.166666666666667,0.375,0.862068965517241,0.230769230769231,0.167145318782309,0.801094890510949
"5","Abalone","nb","SMOTE",2,0.127272727272727,0.875,0.662068965517241,0.222222222222222,0.139309509388249,0.795620437956204
"6","Abalone","nb","Phantom",2,0.2,0.5,0.862068965517241,0.285714285714286,0.224598930481283,0.811131386861314
"7","Abalone","nb","basic",3,0.190476190476191,0.5,0.855172413793103,0.275862068965517,0.212974928922202,0.772810218978102
"8","Abalone","nb","SMOTE",3,0.131578947368421,0.625,0.751724137931034,0.217391304347826,0.138898053447706,0.718978102189781
"9","Abalone","nb","Phantom",3,0.222222222222222,0.5,0.875862068965517,0.307692307692308,0.250430786904078,0.762773722627737
"10","Abalone","nb","basic",4,0.208333333333333,0.625,0.848275862068966,0.3125,0.25046992481203,0.854014598540146
"11","Abalone","nb","SMOTE",4,0.145833333333333,0.875,0.710344827586207,0.25,0.171653971708379,0.826642335766423
"12","Abalone","nb","Phantom",4,0.266666666666667,0.5,0.896551724137931,0.347826086956522,0.297253634894992,0.868613138686131
"13","Abalone","nb","basic",5,0.178571428571429,0.625,0.820689655172414,0.277777777777778,0.209974853310981,0.676094890510949
"14","Abalone","nb","SMOTE",5,0.108695652173913,0.625,0.696551724137931,0.185185185185185,0.100648435297434,0.667883211678832
"15","Abalone","nb","Phantom",5,0.192307692307692,0.625,0.83448275862069,0.294117647058823,0.229065130704475,0.68521897810219
"16","Abalone","nb","basic",6,0.173913043478261,0.5,0.841379310344828,0.258064516129032,0.191906954204023,0.758211678832117
"17","Abalone","nb","SMOTE",6,0.128205128205128,0.625,0.744827586206897,0.212765957446808,0.133419479890164,0.768248175182482
"18","Abalone","nb","Phantom",6,0.166666666666667,0.25,0.889655172413793,0.2,0.14327917282127,0.74543795620438
"19","Abalone","nb","basic",7,0.190476190476191,0.5,0.855172413793103,0.275862068965517,0.212974928922202,0.81021897810219
"20","Abalone","nb","SMOTE",7,0.147058823529412,0.625,0.779310344827586,0.238095238095238,0.163360980887126,0.811131386861314
"21","Abalone","nb","Phantom",7,0.428571428571429,0.375,0.937931034482759,0.4,0.367426078526418,0.812956204379562
"22","Abalone","nb","basic",8,0.217391304347826,0.625,0.855172413793103,0.32258064516129,0.262175914708021,0.897810218978102
