"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Abalone","tree","basic",1,1,0.125,0.951724137931034,0.222222222222222,0.212567882079131,0.656021897810219
"2","Abalone","tree","SMOTE",1,0.2,0.75,0.820689655172414,0.315789473684211,0.250497017892644,0.741788321167883
"3","Abalone","tree","Phantom",1,0,0,0.924137931034483,NA,-0.0310277957336792,0.679744525547445
"4","Abalone","tree","basic",2,0.333333333333334,0.125,0.937931034482759,0.181818181818182,0.156431803490626,0.457116788321168
"5","Abalone","tree","SMOTE",2,0.210526315789474,0.5,0.868965517241379,0.296296296296296,0.237053447798394,0.749543795620438
"6","Abalone","tree","Phantom",2,0.2,0.125,0.924137931034483,0.153846153846154,0.116343490304709,0.406021897810219
"7","Abalone","tree","basic",3,1,0.25,0.958620689655172,0.4,0.386459802538787,0.741788321167883
"8","Abalone","tree","SMOTE",3,0.2,0.75,0.820689655172414,0.315789473684211,0.250497017892644,0.780109489051095
"9","Abalone","tree","Phantom",3,1,0.125,0.951724137931034,0.222222222222222,0.212567882079131,0.643704379562044
"10","Abalone","tree","basic",4,0.5,0.125,0.944827586206897,0.2,0.181946403385049,0.501824817518248
"11","Abalone","tree","SMOTE",4,0.114285714285714,0.5,0.758620689655172,0.186046511627907,0.105726872246696,0.594890510948905
"12","Abalone","tree","Phantom",4,0.5,0.25,0.944827586206897,0.333333333333333,0.307875894988066,0.354470802919708
"13","Abalone","tree","basic",5,0,0,0.917241379310345,NA,-0.0381861575179011,0.614051094890511
"14","Abalone","tree","SMOTE",5,0.166666666666667,0.375,0.862068965517241,0.230769230769231,0.167145318782309,0.375912408759124
"15","Abalone","tree","Phantom",5,0.25,0.25,0.917241379310345,0.25,0.206204379562043,0.403740875912409
"16","Abalone","tree","basic",6,0.5,0.25,0.944827586206897,0.333333333333333,0.307875894988066,0.324817518248175
"17","Abalone","tree","SMOTE",6,0.193548387096774,0.75,0.813793103448276,0.307692307692308,0.241132002326032,0.815237226277372
"18","Abalone","tree","Phantom",6,0.714285714285715,0.625,0.96551724137931,0.666666666666667,0.648570043625788,0.836222627737226
"19","Abalone","tree","basic",7,1,0.25,0.958620689655172,0.4,0.386459802538787,0.848540145985401
"20","Abalone","tree","SMOTE",7,0.192307692307692,0.625,0.83448275862069,0.294117647058823,0.229065130704475,0.85264598540146
"21","Abalone","tree","Phantom",7,1,0.25,0.958620689655172,0.4,0.386459802538787,0.798357664233577
"22","Abalone","tree","basic",8,NA,0,0.944827586206897,NA,0,0.330748175182482
"23","Abalone","tree","SMOTE",8,0.157894736842105,0.75,0.76551724137931,0.260869565217391,0.18673705047839,0.746350364963504
"24","Abalone","tree","Phantom",8,0.4,0.25,0.937931034482759,0.307692307692308,0.277008310249308,0.298813868613139
"25","Abalone","tree","basic",9,1,0.25,0.958620689655172,0.4,0.386459802538787,0.691605839416058
"26","Abalone","tree","SMOTE",9,0.12,0.75,0.682758620689655,0.206896551724138,0.123521681997372,0.676094890510949
"27","Abalone","tree","Phantom",9,0.285714285714286,0.25,0.924137931034483,0.266666666666667,0.226854095976733,0.782846715328467
"28","Abalone","tree","basic",10,0.3,0.375,0.917241379310345,0.333333333333333,0.289795918367346,0.668795620437956
"29","Abalone","tree","SMOTE",10,0.125,0.625,0.737931034482759,0.208333333333333,0.128164556962026,0.66970802919708
"30","Abalone","tree","Phantom",10,0.428571428571429,0.375,0.937931034482759,0.4,0.367426078526418,0.765967153284671
"31","Abalone","tree","basic",11,0.666666666666667,0.25,0.951724137931034,0.363636363636364,0.343891402714932,0.30793795620438
