"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Adult","tree","basic",1,0.875495703899537,0.950744661762067,0.85967785967786,0.911569892473118,0.574732576218474,0.876732067014082
"2","Adult","tree","SMOTE",1,0.879591098244979,0.872330881033555,0.812039312039312,0.875945945945946,0.48830448897465,0.826755080035568
"3","Adult","tree","Phantom",1,0.882139848357203,0.939440157904181,0.858449358449358,0.909888773027459,0.581569674276929,0.864559296928011
"4","Adult","tree","basic",2,0.879612623142428,0.945271846402297,0.85995085995086,0.911261027503892,0.581250573125588,0.878146230363186
"5","Adult","tree","SMOTE",2,0.886097604898253,0.88291763861475,0.824597324597325,0.884504763616754,0.52007403594065,0.834608539113026
"6","Adult","tree","Phantom",2,0.887906858162658,0.937376637358694,0.862339612339612,0.911971369964649,0.597431469417138,0.880586895255003
"7","Adult","tree","basic",3,0.878978224455611,0.941593396734254,0.856947856947857,0.909209044442519,0.573994093349841,0.864513580523158
"8","Adult","tree","SMOTE",3,0.880856038126068,0.878880315808362,0.817431067431067,0.879867067858266,0.499735483610093,0.830540841063112
"9","Adult","tree","Phantom",3,0.882589061716006,0.946886775524852,0.863772863772864,0.913608033240997,0.593543435413507,0.878272452678851
"10","Adult","tree","basic",4,0.881868593513695,0.941683115018841,0.85967785967786,0.910794862894828,0.583800101884622,0.869328977859493
"11","Adult","tree","SMOTE",4,0.887992018864502,0.87843172438543,0.823232323232323,0.883186000360815,0.520077712933813,0.832439370553302
"12","Adult","tree","Phantom",4,0.88468361916026,0.939529876188767,0.860838110838111,0.911282252099378,0.590054090404327,0.873585056158119
"13","Adult","tree","basic",5,0.875594096556325,0.942131706441773,0.854149604149604,0.907645101344051,0.563207543169061,0.864402161980349
"14","Adult","tree","SMOTE",5,0.883681180280677,0.881302709492194,0.821457821457821,0.882490342287306,0.511007776084369,0.829711497114122
"15","Adult","tree","Phantom",5,0.883160929286078,0.934505652251929,0.856128856128856,0.908108108108108,0.578083430111744,0.874030922253809
"16","Adult","tree","basic",6,0.88133445945946,0.936210299659071,0.855582855582856,0.907943965892282,0.574439212276589,0.870735285100961
"17","Adult","tree","SMOTE",6,0.884542243955447,0.876368203839943,0.818932568932569,0.880436252197035,0.507595131819202,0.833478564699883
"18","Adult","tree","Phantom",6,0.886763580719204,0.935851426520725,0.86029211029211,0.910646470819329,0.591613841215812,0.879878873150629
"19","Adult","tree","basic",7,0.872596748906675,0.948770859501166,0.855651105651106,0.909090909090909,0.561819999742089,0.868668233145527
"20","Adult","tree","SMOTE",7,0.878236717140041,0.87941862551588,0.815520065520066,0.878827273949881,0.492519587614493,0.824964284138677
"21","Adult","tree","Phantom",7,0.880958364748262,0.943477480710569,0.86001911001911,0.911146731360742,0.583272705851656,0.876371287426164
"22","Adult","tree","basic",8,0.875124709012305,0.944374663556433,0.855173355173355,0.908431863295072,0.564649515036082,0.869308096478939
"23","Adult","tree","SMOTE",8,0.885163986554011,0.874125246725283,0.817977067977068,0.879609985103598,0.506715316392879,0.828259396698019
"24","Adult","tree","Phantom",8,0.881375838926174,0.942580297864705,0.85981435981436,0.910951183560218,0.5834134617248,0.882639488901597
"25","Adult","tree","basic",9,0.877287853577371,0.946079310963574,0.858312858312858,0.91038591038591,0.574451087260049,0.872038196241781
"26","Adult","tree","SMOTE",9,0.880367269781259,0.877444823254979,0.816066066066066,0.878903617164682,0.496584276442446,0.831692323810025
"27","Adult","tree","Phantom",9,0.876542180726909,0.943387762425982,0.855855855855856,0.908737360642987,0.568179354587926,0.876346158117703
"28","Adult","tree","basic",10,0.877389858686617,0.946976493809438,0.858995358995359,0.910856057991025,0.576047794296831,0.869294904871493
"29","Adult","tree","SMOTE",10,0.888029834455157,0.875919612417011,0.821594321594322,0.88193315266486,0.517123535333496,0.827610858379304
"30","Adult","tree","Phantom",10,0.886816665240825,0.930019738022609,0.856470106470106,0.907904532515875,0.583646690096449,0.866022081138698
"31","Adult","tree","basic",11,0.880414630035395,0.937286919074107,0.855446355446355,0.907961063792804,0.572872390033373,0.879529417105474
"32","Adult","tree","SMOTE",11,0.883345297918162,0.883186793468509,0.822413322413322,0.883266038582324,0.512293710028032,0.826454871805213
"33","Adult","tree","Phantom",11,0.883675876010782,0.941234523595909,0.861042861042861,0.911547484577287,0.589149747486238,0.887261515953426
"34","Adult","tree","basic",12,0.876050245403877,0.944823254979365,0.856333606333606,0.909137998014417,0.568460396219141,0.871170697711411
"35","Adult","tree","SMOTE",12,0.883746060333183,0.880495244930917,0.820980070980071,0.882117657633365,0.510224420876975,0.830972172080182
"36","Adult","tree","Phantom",12,0.880289391772525,0.938812129912076,0.856333606333606,0.908609386532367,0.574554553867471,0.87674133056771
"37","Adult","tree","basic",13,0.878474846728815,0.93845325677373,0.854422604422604,0.907474081464451,0.567984843930705,0.866611532315625
"38","Adult","tree","SMOTE",13,0.88106884057971,0.8726897541719,0.813540813540814,0.876859280627423,0.493079669433745,0.828874770471148
"39","Adult","tree","Phantom",13,0.88590943587149,0.942580297864705,0.863977613977614,0.913366659421865,0.598376210341051,0.8778447682264
"40","Adult","tree","basic",14,0.884038429125232,0.941144805311322,0.861315861315861,0.911698244394229,0.59021562632097,0.873216714746728
"41","Adult","tree","SMOTE",14,0.883466403516641,0.883545666606855,0.822754572754573,0.883506033283991,0.513088121693842,0.836412040408747
"42","Adult","tree","Phantom",14,0.884087102177554,0.947066212094025,0.865274365274365,0.914493632504548,0.59879023867967,0.887830226494398
"43","Adult","tree","basic",15,0.878348961821835,0.941234523595909,0.856128856128856,0.908705067128627,0.571373426165369,0.869291910850016
"44","Adult","tree","SMOTE",15,0.889484199055576,0.878790597523775,0.824733824733825,0.884105063633902,0.524797071242369,0.829344703893323
"45","Adult","tree","Phantom",15,0.887375500127692,0.93522339852862,0.86042861042861,0.910671384265933,0.592690794663572,0.885244684230023
"46","Adult","tree","basic",16,0.879366402667778,0.946348465817334,0.86042861042861,0.91162871094594,0.581922782322473,0.87693399712922
"47","Adult","tree","SMOTE",16,0.879613041920459,0.881033554638435,0.817772317772318,0.880322725235321,0.498567975752129,0.824108109151071
"48","Adult","tree","Phantom",16,0.887517958252345,0.942221424726359,0.865206115206115,0.914051960485661,0.603087887002238,0.887394084571024
"49","Adult","tree","basic",17,0.877928791795214,0.944643818410192,0.857971607971608,0.910065257789879,0.574653672126727,0.867555327213792
"50","Adult","tree","SMOTE",17,0.878817646008216,0.88291763861475,0.818318318318318,0.880862871464375,0.498400328648433,0.832705147536678
"51","Adult","tree","Phantom",17,0.882966101694915,0.934774807105688,0.856128856128856,0.908132136320056,0.577819066126373,0.865655275122937
"52","Adult","tree","basic",18,0.882655210176059,0.940068185896286,0.859336609336609,0.910457487943694,0.584148682386676,0.870691667070135
"53","Adult","tree","SMOTE",18,0.886417073611865,0.87941862551588,0.822549822549823,0.882903981264637,0.516730537314169,0.825873225556067
"54","Adult","tree","Phantom",18,0.88437447096665,0.937376637358694,0.859131859131859,0.910104529616725,0.586025954689516,0.859383810931792
"55","Adult","tree","basic",19,0.88022353824339,0.946797057240266,0.861520611520612,0.912297384914632,0.585458944063654,0.874653832260484
"56","Adult","tree","SMOTE",19,0.886604474232406,0.878252287816257,0.821935571935572,0.882408617658989,0.515855375782796,0.838770536044487
"57","Adult","tree","Phantom",19,0.886516376010208,0.934954243674861,0.85947310947311,0.910091262390289,0.589561360985142,0.881482414755602
"58","Adult","tree","basic",20,0.872405523856777,0.946527902386506,0.854013104013104,0.907956452515168,0.558088958886346,0.867451790368545
"59","Adult","tree","SMOTE",20,0.877940523746116,0.887313834559483,0.82043407043407,0.882602293516577,0.500956469380552,0.829217752264734
"60","Adult","tree","Phantom",20,0.882144961697113,0.940157904180872,0.858927108927109,0.910228013029316,0.582586724625319,0.881504550042587
"61","Adult","tree","basic",21,0.881784574021173,0.941593396734254,0.85954135954136,0.910708087469629,0.583395238170502,0.866740057724734
"62","Adult","tree","SMOTE",21,0.883741808061765,0.883186793468509,0.822754572754573,0.88346421359659,0.513468640121668,0.823644944264627
"63","Adult","tree","Phantom",21,0.881629904024247,0.939529876188767,0.858039858039858,0.909659485753996,0.580005708673115,0.873722973070491
"64","Adult","tree","basic",22,0.878577985479429,0.944554100125606,0.858517608517608,0.910372259933417,0.576739934988708,0.865859405971809
"65","Adult","tree","SMOTE",22,0.88769522433872,0.882199892338059,0.825484575484575,0.88493902713405,0.523846245039838,0.835492709480935
"66","Adult","tree","Phantom",22,0.887146266621207,0.933787905975238,0.859268359268359,0.909869743858729,0.589943646137571,0.871553574201423
"67","Adult","tree","basic",23,0.878171313740266,0.94096536874215,0.855787605787606,0.908484559747066,0.570402307463289,0.869823682331148
"68","Adult","tree","SMOTE",23,0.880494136603706,0.882469047191818,0.819478569478569,0.881480485728369,0.502922294936563,0.828232386529913
"69","Adult","tree","Phantom",23,0.882794068082238,0.939978467611699,0.859404859404859,0.910489267402451,0.584481603936758,0.875304213053954
"70","Adult","tree","basic",24,0.882560187903699,0.943926072133501,0.861793611793612,0.912212251268045,0.589251721941262,0.873182334679602
"71","Adult","tree","SMOTE",24,0.889303595812472,0.876457922124529,0.823027573027573,0.882834033708373,0.52141768642933,0.834806617944128
"72","Adult","tree","Phantom",24,0.896414342629482,0.928584245469227,0.864045864045864,0.912215758857747,0.611359781853873,0.885815800224147
"73","Adult","tree","basic",25,0.87497927375228,0.946886775524852,0.856674856674857,0.909513960703206,0.56759027774889,0.869167070390417
"74","Adult","tree","SMOTE",25,0.883118048080373,0.883276511753095,0.822276822276822,0.883197272808827,0.511727955776873,0.831795284881911
"75","Adult","tree","Phantom",25,0.885097375105842,0.937825228781626,0.86008736008736,0.910698728001394,0.589005849694412,0.887954772669835
"76","Adult","tree","basic",26,0.87563346348758,0.945630719540642,0.856470106470106,0.909286977526636,0.568131764261601,0.868786688918302
"77","Adult","tree","SMOTE",26,0.886261866380082,0.887852144267002,0.828009828009828,0.887056292577985,0.526645606950875,0.828961801813384
"78","Adult","tree","Phantom",26,0.885050675675676,0.940157904180872,0.861588861588862,0.911772383189768,0.592137392484368,0.860559923983586
"79","Adult","tree","basic",27,0.878533422015298,0.948053113224475,0.860769860769861,0.911970311556054,0.58147267232498,0.871648666370711
"80","Adult","tree","SMOTE",27,0.883284405302019,0.890812847658353,0.827395577395577,0.887032652878903,0.521439610346136,0.827772394794436
"81","Adult","tree","Phantom",27,0.884969195712718,0.940785932172977,0.861930111930112,0.912024353120244,0.59275861212402,0.883050872570454
"82","Adult","tree","basic",28,0.880104184170728,0.939799031042526,0.856811356811357,0.908972578965637,0.575297963888102,0.867504390463801
"83","Adult","tree","SMOTE",28,0.89011585807386,0.882289610622645,0.827600327600328,0.886185455528521,0.530939741919825,0.829503514981213
"84","Adult","tree","Phantom",28,0.883227714406422,0.937825228781626,0.858381108381108,0.909708019668422,0.582903655325143,0.878904331954992
"85","Adult","tree","basic",29,0.8793696034873,0.941144805311322,0.857016107016107,0.909209100758397,0.574693151094294,0.88100482994521
"86","Adult","tree","SMOTE",29,0.888468468468468,0.884801722591064,0.827873327873328,0.88663130450418,0.529312626542547,0.847014267100904
"87","Adult","tree","Phantom",29,0.882561376866616,0.938542975058317,0.858244608244608,0.909691725727206,0.581712480058903,0.878629918371203
"88","Adult","tree","basic",30,0.874927572220843,0.948322268078234,0.857562107562108,0.910147672966806,0.569388660722011,0.866046481134236
"89","Adult","tree","SMOTE",30,0.879644588045234,0.879328907231294,0.816680316680317,0.87948671931084,0.496647546184299,0.820023265849966
"90","Adult","tree","Phantom",30,0.883240600236048,0.939978467611699,0.85981435981436,0.910726703755216,0.585953140152607,0.88236246514524
"91","Adult","tree","basic",31,0.878575598365441,0.94518212811771,0.858927108927109,0.910662575096166,0.577605240237818,0.86933079474432
"92","Adult","tree","SMOTE",31,0.884254243409173,0.878700879239189,0.82022932022932,0.881468814688147,0.50955525130895,0.823385027374569
"93","Adult","tree","Phantom",31,0.884051833658,0.93647945451283,0.858244608244608,0.909510739336906,0.583723307420903,0.876020513499761
"94","Adult","tree","basic",32,0.883647260273973,0.925982415216221,0.850941850941851,0.904319635503373,0.568011617043212,0.869699571184473
"95","Adult","tree","SMOTE",32,0.884622302158273,0.882558765476404,0.823095823095823,0.883589329021827,0.515304974863438,0.82853378469188
"96","Adult","tree","Phantom",32,0.883492681275912,0.936838327651175,0.857971607971608,0.909383844981494,0.582397914965167,0.88289824144997
"97","Adult","tree","basic",33,0.884287661895024,0.931096357437646,0.854900354900355,0.907088541211433,0.577040955487926,0.868625024553535
"98","Adult","tree","SMOTE",33,0.880801216131628,0.883725103176027,0.820570570570571,0.882260737157956,0.505347522440106,0.830904576287616
"99","Adult","tree","Phantom",33,0.883964817320704,0.937735510497039,0.858995358995359,0.910056595559425,0.585190998576076,0.867848139955201
"100","Adult","tree","basic",34,0.882352941176471,0.94069621388839,0.85947310947311,0.910590993964132,0.584027052051737,0.881113663905377
"101","Adult","tree","SMOTE",34,0.880325087076896,0.884353131168132,0.820570570570571,0.882334511927673,0.504667174308521,0.834961014769585
"102","Adult","tree","Phantom",34,0.882546097499369,0.940427059034631,0.85947310947311,0.910567693176389,0.584289804708531,0.878487663966179
"103","Adult","tree","basic",35,0.883358726934146,0.936300017943657,0.857493857493858,0.909059233449477,0.581212302999859,0.874260144026252
"104","Adult","tree","SMOTE",35,0.88364553314121,0.880315808361744,0.820775320775321,0.881977528089888,0.509711986620425,0.825177371462052
"105","Adult","tree","Phantom",35,0.88176554501972,0.942759734433878,0.86029211029211,0.911243116680397,0.584964858381847,0.875234595657144
"106","Adult","tree","basic",36,0.879391494368802,0.93872241162749,0.855446355446355,0.908088873459469,0.571430275996544,0.875492810817046
"107","Adult","tree","SMOTE",36,0.882685069008783,0.883635384891441,0.822140322140322,0.883159971305595,0.510874708149993,0.826209067759977
"108","Adult","tree","Phantom",36,0.877889992488106,0.943656917279742,0.857289107289107,0.909586197950448,0.573155626521671,0.86333512599303
"109","Adult","tree","basic",37,0.877188594297149,0.943926072133501,0.856811356811357,0.90933448573898,0.571133246700282,0.864159914934988
"110","Adult","tree","SMOTE",37,0.883205151135754,0.886057778575274,0.824187824187824,0.884629165173773,0.515367142508918,0.829754385832024
"111","Adult","tree","Phantom",37,0.885799067401441,0.937376637358694,0.86042861042861,0.910858288653502,0.5906501696126,0.874217895056528
"112","Adult","tree","basic",38,0.883930086543357,0.934685088821102,0.856947856947857,0.908599337170766,0.580835199315504,0.869730419841652
"113","Adult","tree","SMOTE",38,0.882710449927431,0.873048627310246,0.815178815178815,0.877852954442941,0.498309474458726,0.824892146134043
"114","Adult","tree","Phantom",38,0.883133344600304,0.937645792212453,0.858176358176358,0.909573542210618,0.582344400159387,0.873147545173642
"115","Adult","tree","basic",39,0.876514522821577,0.947604521801543,0.858585858585859,0.910674254181756,0.57390472582482,0.87374641344376
"116","Adult","tree","SMOTE",39,0.886904761904762,0.882289610622645,0.824870324870325,0.884591166681659,0.521659394806582,0.834284724174876
"117","Adult","tree","Phantom",39,0.891298756965281,0.932801004844787,0.862339612339612,0.911577747577923,0.601659951709241,0.888520463599403
"118","Adult","tree","basic",40,0.876626066782666,0.949219450924098,0.85974610974611,0.911479646780099,0.576537938101738,0.882175556317339
"119","Adult","tree","SMOTE",40,0.884785553047404,0.879149470662121,0.820980070980071,0.881958507717924,0.511650839450035,0.835208239055777
"120","Adult","tree","Phantom",40,0.888614283279359,0.935492553382379,0.861725361725362,0.911451048951049,0.597019155990451,0.887673987194186
