"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Ionosphere","KNN","basic",1,0.882352941176471,0.6,0.828571428571429,0.714285714285714,0.598086124401914,0.911555555555556
"2","Ionosphere","KNN","SMOTE",1,0.894736842105263,0.68,0.857142857142857,0.772727272727273,0.671361502347418,0.919111111111111
"3","Ionosphere","KNN","Phantom",1,0.941176470588235,0.64,0.857142857142857,0.761904761904762,0.665071770334928,0.944
"4","Ionosphere","KNN","basic",2,0.944444444444444,0.68,0.871428571428571,0.790697674418605,0.701421800947867,0.964444444444444
"5","Ionosphere","KNN","SMOTE",2,1,0.72,0.9,0.837209302325581,0.767772511848341,0.973333333333333
"6","Ionosphere","KNN","Phantom",2,0.95,0.76,0.9,0.844444444444444,0.772093023255814,0.967555555555556
"7","Ionosphere","KNN","basic",3,0.933333333333333,0.56,0.828571428571429,0.7,0.590243902439024,0.941333333333333
"8","Ionosphere","KNN","SMOTE",3,0.842105263157895,0.64,0.828571428571429,0.727272727272727,0.605633802816901,0.942222222222222
"9","Ionosphere","KNN","Phantom",3,0.9375,0.6,0.842857142857143,0.731707317073171,0.628019323671498,0.94
"10","Ionosphere","KNN","basic",4,0.8125,0.52,0.785714285714286,0.634146341463415,0.492753623188406,0.871555555555556
"11","Ionosphere","KNN","SMOTE",4,0.894736842105263,0.68,0.857142857142857,0.772727272727273,0.671361502347418,0.906666666666667
"12","Ionosphere","KNN","Phantom",4,0.823529411764706,0.56,0.8,0.666666666666667,0.5311004784689,0.908888888888889
"13","Ionosphere","KNN","basic",5,1,0.72,0.9,0.837209302325581,0.767772511848341,0.966222222222222
"14","Ionosphere","KNN","SMOTE",5,0.91304347826087,0.84,0.914285714285714,0.875,0.809954751131222,0.977333333333333
"15","Ionosphere","KNN","Phantom",5,1,0.72,0.9,0.837209302325581,0.767772511848341,0.970666666666667
"16","Ionosphere","KNN","basic",6,1,0.48,0.814285714285714,0.648648648648649,0.542713567839196,0.932444444444444
"17","Ionosphere","KNN","SMOTE",6,1,0.6,0.857142857142857,0.75,0.658536585365853,0.912444444444444
"18","Ionosphere","KNN","Phantom",6,1,0.56,0.842857142857143,0.717948717948718,0.620689655172414,0.929777777777778
"19","Ionosphere","KNN","basic",7,0.823529411764706,0.56,0.8,0.666666666666667,0.5311004784689,0.886666666666667
"20","Ionosphere","KNN","SMOTE",7,0.857142857142857,0.72,0.857142857142857,0.782608695652174,0.67741935483871,0.916
"21","Ionosphere","KNN","Phantom",7,0.85,0.68,0.842857142857143,0.755555555555556,0.641860465116279,0.889777777777778
"22","Ionosphere","KNN","basic",8,1,0.56,0.842857142857143,0.717948717948718,0.620689655172414,0.936444444444444
"23","Ionosphere","KNN","SMOTE",8,1,0.68,0.885714285714286,0.80952380952381,0.732057416267943,0.96
"24","Ionosphere","KNN","Phantom",8,1,0.64,0.871428571428571,0.780487804878049,0.695652173913043,0.954666666666667
"25","Ionosphere","KNN","basic",9,1,0.64,0.871428571428571,0.780487804878049,0.695652173913043,0.917777777777778
"26","Ionosphere","KNN","SMOTE",9,0.944444444444444,0.68,0.871428571428571,0.790697674418605,0.701421800947867,0.945333333333333
"27","Ionosphere","KNN","Phantom",9,1,0.8,0.928571428571429,0.888888888888889,0.837209302325581,0.937333333333333
"28","Ionosphere","KNN","basic",10,0.894736842105263,0.68,0.857142857142857,0.772727272727273,0.671361502347418,0.958222222222222
"29","Ionosphere","KNN","SMOTE",10,0.952380952380952,0.8,0.914285714285714,0.869565217391304,0.806451612903226,0.982222222222222
"30","Ionosphere","KNN","Phantom",10,0.894736842105263,0.68,0.857142857142857,0.772727272727273,0.671361502347418,0.957333333333333
"31","Ionosphere","KNN","basic",11,0.882352941176471,0.6,0.828571428571429,0.714285714285714,0.598086124401914,0.904444444444444
"32","Ionosphere","KNN","SMOTE",11,0.818181818181818,0.72,0.842857142857143,0.765957446808511,0.648401826484018,0.900888888888889
"33","Ionosphere","KNN","Phantom",11,0.782608695652174,0.72,0.828571428571429,0.75,0.619909502262444,0.897777777777778
"34","Ionosphere","KNN","basic",12,0.888888888888889,0.64,0.842857142857143,0.744186046511628,0.635071090047393,0.879111111111111
"35","Ionosphere","KNN","SMOTE",12,0.882352941176471,0.6,0.828571428571429,0.714285714285714,0.598086124401914,0.849333333333333
"36","Ionosphere","KNN","Phantom",12,0.882352941176471,0.6,0.828571428571429,0.714285714285714,0.598086124401914,0.878666666666667
"37","Ionosphere","KNN","basic",13,0.882352941176471,0.6,0.828571428571429,0.714285714285714,0.598086124401914,0.872444444444444
"38","Ionosphere","KNN","SMOTE",13,0.944444444444444,0.68,0.871428571428571,0.790697674418605,0.701421800947867,0.944444444444445
"39","Ionosphere","KNN","Phantom",13,0.894736842105263,0.68,0.857142857142857,0.772727272727273,0.671361502347418,0.880444444444444
"40","Ionosphere","KNN","basic",14,0.928571428571429,0.52,0.814285714285714,0.666666666666667,0.551724137931034,0.863555555555556
"41","Ionosphere","KNN","SMOTE",14,0.941176470588235,0.64,0.857142857142857,0.761904761904762,0.665071770334928,0.864444444444445
"42","Ionosphere","KNN","Phantom",14,0.923076923076923,0.48,0.8,0.631578947368421,0.512437810945274,0.888888888888889
"43","Ionosphere","KNN","basic",15,0.846153846153846,0.44,0.771428571428571,0.578947368421053,0.442786069651741,0.884
"44","Ionosphere","KNN","SMOTE",15,0.8125,0.52,0.785714285714286,0.634146341463415,0.492753623188406,0.874666666666667
"45","Ionosphere","KNN","Phantom",15,0.833333333333333,0.4,0.757142857142857,0.540540540540541,0.402010050251256,0.903555555555556
"46","Ionosphere","KNN","basic",16,0.9,0.72,0.871428571428571,0.8,0.706976744186047,0.92
"47","Ionosphere","KNN","SMOTE",16,0.91304347826087,0.84,0.914285714285714,0.875,0.809954751131222,0.928444444444445
"48","Ionosphere","KNN","Phantom",16,0.909090909090909,0.8,0.9,0.851063829787234,0.776255707762557,0.923555555555556
"49","Ionosphere","KNN","basic",17,0.944444444444444,0.68,0.871428571428571,0.790697674418605,0.701421800947867,0.928
"50","Ionosphere","KNN","SMOTE",17,1,0.76,0.914285714285714,0.863636363636364,0.802816901408451,0.937777777777778
"51","Ionosphere","KNN","Phantom",17,1,0.72,0.9,0.837209302325581,0.767772511848341,0.933333333333333
"52","Ionosphere","KNN","basic",18,1,0.52,0.828571428571429,0.684210526315789,0.582089552238806,0.932
"53","Ionosphere","KNN","SMOTE",18,0.95,0.76,0.9,0.844444444444444,0.772093023255814,0.934666666666667
"54","Ionosphere","KNN","Phantom",18,1,0.4,0.785714285714286,0.571428571428572,0.461538461538461,0.909333333333333
"55","Ionosphere","KNN","basic",19,1,0.64,0.871428571428571,0.780487804878049,0.695652173913043,0.905777777777778
"56","Ionosphere","KNN","SMOTE",19,1,0.76,0.914285714285714,0.863636363636364,0.802816901408451,0.94
"57","Ionosphere","KNN","Phantom",19,1,0.64,0.871428571428571,0.780487804878049,0.695652173913043,0.925777777777778
"58","Ionosphere","KNN","basic",20,0.928571428571429,0.52,0.814285714285714,0.666666666666667,0.551724137931034,0.899111111111111
"59","Ionosphere","KNN","SMOTE",20,1,0.64,0.871428571428571,0.780487804878049,0.695652173913043,0.923555555555556
"60","Ionosphere","KNN","Phantom",20,1,0.6,0.857142857142857,0.75,0.658536585365853,0.929333333333333
"61","Ionosphere","KNN","basic",21,0.947368421052632,0.72,0.885714285714286,0.818181818181818,0.737089201877934,0.969777777777778
"62","Ionosphere","KNN","SMOTE",21,0.92,0.92,0.942857142857143,0.92,0.875555555555556,0.992444444444444
"63","Ionosphere","KNN","Phantom",21,0.952380952380952,0.8,0.914285714285714,0.869565217391304,0.806451612903226,0.971555555555556
"64","Ionosphere","KNN","basic",22,1,0.64,0.871428571428571,0.780487804878049,0.695652173913043,0.910666666666667
"65","Ionosphere","KNN","SMOTE",22,1,0.76,0.914285714285714,0.863636363636364,0.802816901408451,0.976444444444444
"66","Ionosphere","KNN","Phantom",22,1,0.72,0.9,0.837209302325581,0.767772511848341,0.954666666666667
"67","Ionosphere","KNN","basic",23,0.923076923076923,0.48,0.8,0.631578947368421,0.512437810945274,0.886222222222222
"68","Ionosphere","KNN","SMOTE",23,0.894736842105263,0.68,0.857142857142857,0.772727272727273,0.671361502347418,0.880888888888889
"69","Ionosphere","KNN","Phantom",23,1,0.52,0.828571428571429,0.684210526315789,0.582089552238806,0.886666666666667
"70","Ionosphere","KNN","basic",24,1,0.68,0.885714285714286,0.80952380952381,0.732057416267943,0.98
