"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Ionosphere","lr","basic",1,0.84375,0.72972972972973,0.855769230769231,0.782608695652174,0.675540765391015,0.830778539733764
"2","Ionosphere","lr","SMOTE",1,0.848484848484849,0.756756756756757,0.865384615384615,0.8,0.699049193881769,0.837031060911658
"3","Ionosphere","lr","Phantom",1,0.933333333333333,0.756756756756757,0.894230769230769,0.835820895522388,0.759056444818871,0.972166196046793
"4","Ionosphere","lr","basic",2,0.848484848484849,0.756756756756757,0.865384615384615,0.8,0.699049193881769,0.839249697458653
"5","Ionosphere","lr","SMOTE",2,0.823529411764706,0.756756756756757,0.855769230769231,0.788732394366197,0.679539852095316,0.837837837837838
"6","Ionosphere","lr","Phantom",2,0.878787878787879,0.783783783783784,0.884615384615385,0.828571428571429,0.742042166184374,0.937071399757967
"7","Ionosphere","lr","basic",3,0.96551724137931,0.756756756756757,0.903846153846154,0.848484848484848,0.779567613395507,0.808390480032271
"8","Ionosphere","lr","SMOTE",3,0.931034482758621,0.72972972972973,0.884615384615385,0.818181818181818,0.735481136074608,0.846308995562727
"9","Ionosphere","lr","Phantom",3,0.842105263157895,0.864864864864865,0.894230769230769,0.853333333333333,0.77064955894146,0.960467930617184
"10","Ionosphere","lr","basic",4,0.710526315789474,0.72972972972973,0.798076923076923,0.72,0.56214915797915,0.782775312626059
"11","Ionosphere","lr","SMOTE",4,0.815789473684211,0.837837837837838,0.875,0.826666666666667,0.728949478748998,0.86668011294877
"12","Ionosphere","lr","Phantom",4,0.941176470588235,0.864864864864865,0.932692307692308,0.901408450704225,0.850451930977814,0.979427188382412
"13","Ionosphere","lr","basic",5,0.871794871794872,0.918918918918919,0.923076923076923,0.894736842105263,0.83419689119171,0.928196853569988
"14","Ionosphere","lr","SMOTE",5,0.942857142857143,0.891891891891892,0.942307692307692,0.916666666666667,0.872601061657819,0.929003630496168
"15","Ionosphere","lr","Phantom",5,0.921052631578947,0.945945945945946,0.951923076923077,0.933333333333333,0.895749799518845,0.988301734570391
"16","Ionosphere","lr","basic",6,0.852941176470588,0.783783783783784,0.875,0.816901408450704,0.722267871815941,0.859620814844695
"17","Ionosphere","lr","SMOTE",6,0.763157894736842,0.783783783783784,0.836538461538462,0.773333333333333,0.645549318364074,0.873336022589754
"18","Ionosphere","lr","Phantom",6,0.794871794871795,0.837837837837838,0.865384615384615,0.815789473684211,0.709844559585492,0.932230738200887
