"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Mammography","KNN","basic",1,0.982668977469671,0.995610184372256,0.978759558198811,0.989097252507632,0.57993690131194,0.936292800702371
"2","Mammography","KNN","SMOTE",1,0.995762711864407,0.928446005267779,0.926932880203908,0.960926851431168,0.409236551671813,0.952200106279747
"3","Mammography","KNN","Phantom",1,0.996036988110964,0.99297629499561,0.989379779099405,0.994504286656408,0.83728260569027,0.969765144863916
"4","Mammography","KNN","basic",2,0.985652173913043,0.995171202809482,0.981308411214953,0.990388816076889,0.652210119135562,0.941730973614898
"5","Mammography","KNN","SMOTE",2,0.995808104331625,0.938542581211589,0.936703483432455,0.966327683615819,0.447398687291049,0.956962478628529
"6","Mammography","KNN","Phantom",2,0.994722955145119,0.99297629499561,0.988105352591334,0.993848857644991,0.81436586080256,0.969046023751213
"7","Mammography","KNN","basic",3,0.981369150779896,0.994293239683933,0.976210705182668,0.987788922808548,0.529529329469373,0.91835809343376
"8","Mammography","KNN","SMOTE",3,0.995267392333176,0.923178226514486,0.921410365335599,0.957868367114553,0.386275941182605,0.932128251929208
"9","Mammography","KNN","Phantom",3,0.995160580730312,0.99297629499561,0.988530161427358,0.994067237969677,0.82209894028539,0.961098147035719
"10","Mammography","KNN","basic",4,0.985243055555555,0.996488147497805,0.982158028887001,0.990833697075513,0.65790092870687,0.949756827318516
"11","Mammography","KNN","SMOTE",4,0.996730499766464,0.936786654960492,0.935853865760408,0.965829373161349,0.451400614263887,0.953314888406266
"12","Mammography","KNN","Phantom",4,0.996481970096746,0.994732221246708,0.991503823279524,0.99560632688928,0.867404186287543,0.977282704126427
"13","Mammography","KNN","basic",5,0.983961855223234,0.996488147497805,0.980883602378929,0.990185387131952,0.624891111126849,0.956159604454508
"14","Mammography","KNN","SMOTE",5,0.997184420459878,0.932835820895522,0.932455395072218,0.96393740077115,0.441322486752743,0.969906658657179
"15","Mammography","KNN","Phantom",5,0.994720633523977,0.992537313432836,0.98768054375531,0.993627774115579,0.808921084010233,0.982440737489025
"16","Mammography","KNN","basic",6,0.986099044309296,0.996488147497805,0.983007646559048,0.991266375545851,0.679081688297524,0.943267409084608
"17","Mammography","KNN","SMOTE",6,0.996719775070291,0.933713784021071,0.932880203908241,0.964188576609248,0.439307508622978,0.953265791784114
"18","Mammography","KNN","Phantom",6,0.996477322765302,0.993415276558385,0.990229396771453,0.994943943723895,0.850299997235048,0.96352120974077
"19","Mammography","KNN","basic",7,0.982220294882914,0.994293239683933,0.977060322854715,0.988219895287958,0.553352073085031,0.90039161776258
"20","Mammography","KNN","SMOTE",7,0.994847775175644,0.932396839332748,0.929906542056075,0.962610469068661,0.412516524438018,0.925295157340234
"21","Mammography","KNN","Phantom",7,0.992084432717678,0.990342405618964,0.983007646559048,0.991212653778559,0.734808372575085,0.952979876160991
"22","Mammography","KNN","basic",8,0.983506944444444,0.994732221246708,0.978759558198811,0.989087734613706,0.592739200841512,0.961895245136546
"23","Mammography","KNN","SMOTE",8,0.997122302158273,0.912642669007902,0.912914188615123,0.953013981205592,0.374294968375685,0.956448408114228
"24","Mammography","KNN","Phantom",8,0.994727592267135,0.993854258121159,0.988954970263382,0.994290733421168,0.825460560086695,0.982325216025138
"25","Mammography","KNN","basic",9,0.983968804159445,0.996927129060579,0.981308411214953,0.990405582206716,0.630344473154507,0.891066147590222
"26","Mammography","KNN","SMOTE",9,0.994490358126722,0.950834064969271,0.94732370433305,0.972172351885099,0.48469784060898,0.935414837576822
"27","Mammography","KNN","Phantom",9,0.99430823117338,0.996927129060579,0.991503823279524,0.995615957913196,0.858637297173947,0.968272029943163
"28","Mammography","KNN","basic",10,0.983109571242962,0.996488147497805,0.980033984706882,0.989753651624155,0.602012993086182,0.915351647336075
"29","Mammography","KNN","SMOTE",10,0.995782567947516,0.932835820895522,0.931180968564146,0.963281958295558,0.425112762005837,0.935062497111963
"30","Mammography","KNN","Phantom",10,0.992119089316988,0.994732221246708,0.987255734919286,0.993423936869794,0.78795594576092,0.973681322489719
"31","Mammography","KNN","basic",11,0.982646420824295,0.994293239683933,0.977485131690739,0.988435522583461,0.564989086547513,0.900954784899034
"32","Mammography","KNN","SMOTE",11,0.996284254528565,0.94161545215101,0.940101954120646,0.968178740690589,0.465952058387208,0.95407444203133
"33","Mammography","KNN","Phantom",11,0.99515631880229,0.992098331870061,0.98768054375531,0.993624972521433,0.811247822600714,0.981880458389169
"34","Mammography","KNN","basic",12,0.98651000870322,0.995171202809482,0.982158028887001,0.990821678321678,0.672856499986764,0.935510142784529
"35","Mammography","KNN","SMOTE",12,0.995762711864407,0.928446005267779,0.926932880203908,0.960926851431168,0.409236551671813,0.934196086132803
"36","Mammography","KNN","Phantom",12,0.992534036012297,0.992098331870061,0.985131690739167,0.99231613611416,0.763558305448577,0.980433552053972
"37","Mammography","KNN","basic",13,0.980968858131488,0.995610184372256,0.977060322854715,0.988235294117647,0.531607882441374,0.892591030913544
"38","Mammography","KNN","SMOTE",13,0.99392523364486,0.933713784021071,0.930331350892099,0.962879130828429,0.406188281764318,0.932948454322813
"39","Mammography","KNN","Phantom",13,0.99294532627866,0.988586479367867,0.982158028887001,0.99076110866696,0.731538302794643,0.958865694746084
