"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Mammography","lr","basic",1,0.941176470588236,0.32,0.977692797960484,0.477611940298508,0.469025265173123,0.898130348913759
"2","Mammography","lr","SMOTE",1,0.262773722627737,0.72,0.926704907584449,0.385026737967914,0.354905024257873,0.907241606319947
"3","Mammography","lr","Phantom",1,0.90909090909091,0.4,0.979604843849586,0.555555555555556,0.546728296981077,0.899289005924951
"4","Mammography","lr","basic",2,0.785714285714286,0.44,0.978330146590185,0.564102564102564,0.553896071315081,0.918169848584595
"5","Mammography","lr","SMOTE",2,0.253012048192771,0.84,0.915869980879541,0.388888888888889,0.357414118347895,0.926254114549045
"6","Mammography","lr","Phantom",2,0.785714285714286,0.44,0.978330146590185,0.564102564102564,0.553896071315081,0.916050032916392
"7","Mammography","lr","basic",3,0.681818181818183,0.3,0.973231357552581,0.416666666666667,0.405080889787665,0.938775510204082
"8","Mammography","lr","SMOTE",3,0.22289156626506,0.74,0.909496494582537,0.342592592592593,0.308733369737887,0.937906517445688
"9","Mammography","lr","Phantom",3,0.695652173913044,0.32,0.973868706182282,0.438356164383562,0.426846761763056,0.939763001974984
"10","Mammography","lr","basic",4,0.700000000000001,0.42,0.975780752071383,0.525,0.513369245837416,0.88476629361422
"11","Mammography","lr","SMOTE",4,0.251572327044025,0.8,0.917782026768642,0.382775119617225,0.351322507138942,0.888742593811718
"12","Mammography","lr","Phantom",4,0.687500000000001,0.44,0.975780752071383,0.536585365853659,0.524765260087042,0.882448979591837
"13","Mammography","lr","basic",5,0.785714285714286,0.44,0.978330146590185,0.564102564102564,0.553896071315081,0.951678736010533
"14","Mammography","lr","SMOTE",5,0.228571428571429,0.8,0.907584448693435,0.355555555555556,0.321943223306759,0.951217906517446
"15","Mammography","lr","Phantom",5,0.757575757575758,0.5,0.978967495219885,0.602409638554217,0.592072608664824,0.949282422646478
"16","Mammography","lr","basic",6,0.750000000000001,0.42,0.977055449330784,0.538461538461539,0.52765466374538,0.92567478604345
"17","Mammography","lr","SMOTE",6,0.218085106382979,0.82,0.90057361376673,0.34453781512605,0.309789014781937,0.919670836076366
"18","Mammography","lr","Phantom",6,0.70967741935484,0.44,0.976418100701083,0.54320987654321,0.531789110324304,0.927188940092166
"19","Mammography","lr","basic",7,0.708333333333334,0.34,0.974506054811982,0.45945945945946,0.448050234816105,0.925832784726794
"20","Mammography","lr","SMOTE",7,0.261146496815287,0.82,0.920331421287444,0.396135265700483,0.365461704461261,0.930901909150757
"21","Mammography","lr","Phantom",7,0.714285714285715,0.4,0.975780752071383,0.512820512820513,0.501413256175679,0.929071757735352
"22","Mammography","lr","basic",8,0.757575757575758,0.5,0.978967495219885,0.602409638554217,0.592072608664824,0.91963133640553
"23","Mammography","lr","SMOTE",8,0.231638418079096,0.82,0.907584448693435,0.361233480176212,0.327829038920059,0.923462804476629
