"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Oil","KNN","basic",1,1,0.125,0.962566844919786,0.222222222222222,0.214757048590281,0.819832402234637
"2","Oil","KNN","SMOTE",1,0.136363636363636,0.75,0.786096256684492,0.230769230769231,0.170731707317073,0.845321229050279
"3","Oil","KNN","Phantom",1,0.666666666666665,0.25,0.962566844919786,0.363636363636363,0.348432055749127,0.840432960893855
"4","Oil","KNN","basic",2,0.333333333333334,0.125,0.951871657754011,0.181818181818182,0.162269785963165,0.783519553072626
"5","Oil","KNN","SMOTE",2,0.133333333333333,0.75,0.780748663101604,0.226415094339623,0.165814383636166,0.769902234636871
"6","Oil","KNN","Phantom",2,0.666666666666667,0.5,0.967914438502674,0.571428571428571,0.555114988104679,0.767807262569832
"7","Oil","KNN","basic",3,NA,0,0.957219251336898,NA,0,0.826117318435754
"8","Oil","KNN","SMOTE",3,0.131578947368421,0.625,0.807486631016043,0.217391304347826,0.157868401300976,0.776885474860335
"9","Oil","KNN","Phantom",3,0.333333333333334,0.125,0.951871657754011,0.181818181818182,0.162269785963165,0.819483240223464
"10","Oil","KNN","basic",4,1,0.125,0.962566844919786,0.222222222222222,0.214757048590281,0.704958100558659
"11","Oil","KNN","SMOTE",4,0.170731707317073,0.875,0.812834224598931,0.285714285714286,0.230633595862231,0.875698324022346
"12","Oil","KNN","Phantom",4,1,0.375,0.973262032085562,0.545454545454545,0.534594325535092,0.716131284916201
"13","Oil","KNN","basic",5,1,0.25,0.967914438502674,0.4,0.38955386289445,0.781075418994413
"14","Oil","KNN","SMOTE",5,0.108695652173913,0.625,0.764705882352941,0.185185185185185,0.121127964110233,0.777932960893855
"15","Oil","KNN","Phantom",5,0.749999999999998,0.375,0.967914438502674,0.5,0.485321100917431,0.775837988826816
"16","Oil","KNN","basic",6,1,0.25,0.967914438502674,0.4,0.38955386289445,0.790153631284916
"17","Oil","KNN","SMOTE",6,0.133333333333333,0.5,0.839572192513369,0.210526315789474,0.15333534560821,0.807262569832402
"18","Oil","KNN","Phantom",6,1,0.375,0.973262032085562,0.545454545454545,0.534594325535092,0.796438547486033
"19","Oil","KNN","basic",7,1,0.125,0.962566844919786,0.222222222222222,0.214757048590281,0.837290502793296
"20","Oil","KNN","SMOTE",7,0.137931034482759,0.5,0.844919786096257,0.216216216216216,0.15987606506584,0.755935754189944
"21","Oil","KNN","Phantom",7,0.571428571428571,0.5,0.962566844919786,0.533333333333333,0.513924990716673,0.841131284916201
"22","Oil","KNN","basic",8,1,0.375,0.973262032085562,0.545454545454545,0.534594325535092,0.989874301675978
"23","Oil","KNN","SMOTE",8,0.122448979591837,0.75,0.759358288770054,0.210526315789474,0.147848101265823,0.850209497206704
"24","Oil","KNN","Phantom",8,1,0.875,0.994652406417112,0.933333333333333,0.930560712959524,0.998254189944134
"25","Oil","KNN","basic",9,0.499999999999998,0.125,0.957219251336898,0.2,0.186071817192602,0.713687150837989
"26","Oil","KNN","SMOTE",9,0.129032258064516,0.5,0.834224598930481,0.205128205128205,0.147123731057819,0.738826815642458
"27","Oil","KNN","Phantom",9,0.6,0.375,0.962566844919786,0.461538461538462,0.443215652913653,0.71927374301676
"28","Oil","KNN","basic",10,0.499999999999998,0.125,0.957219251336898,0.2,0.186071817192602,0.897695530726257
"29","Oil","KNN","SMOTE",10,0.13953488372093,0.75,0.79144385026738,0.235294117647059,0.175839077861906,0.895600558659218
"30","Oil","KNN","Phantom",10,0.666666666666665,0.25,0.962566844919786,0.363636363636363,0.348432055749127,0.908868715083799
"31","Oil","KNN","basic",11,NA,0,0.957219251336898,NA,0,0.822625698324022
"32","Oil","KNN","SMOTE",11,0.138888888888889,0.625,0.818181818181818,0.227272727272727,0.169106116048092,0.882332402234637
"33","Oil","KNN","Phantom",11,0.5,0.25,0.957219251336898,0.333333333333333,0.313761467889909,0.779329608938547
"34","Oil","KNN","basic",12,1,0.25,0.967914438502674,0.4,0.38955386289445,0.843575418994413
"35","Oil","KNN","SMOTE",12,0.189189189189189,0.875,0.834224598930481,0.311111111111111,0.258979930972773,0.837988826815642
"36","Oil","KNN","Phantom",12,0.749999999999998,0.375,0.967914438502674,0.5,0.485321100917431,0.839385474860335
"37","Oil","KNN","basic",13,1,0.375,0.973262032085562,0.545454545454545,0.534594325535092,0.788058659217877
"38","Oil","KNN","SMOTE",13,0.217391304347826,0.625,0.887700534759358,0.32258064516129,0.276662368760361,0.902583798882681
"39","Oil","KNN","Phantom",13,0.749999999999998,0.375,0.967914438502674,0.5,0.485321100917431,0.793645251396648
"40","Oil","KNN","basic",14,0.499999999999998,0.125,0.957219251336898,0.2,0.186071817192602,0.854399441340782
"41","Oil","KNN","SMOTE",14,0.153846153846154,0.75,0.812834224598931,0.25531914893617,0.198407838334354,0.835195530726257
"42","Oil","KNN","Phantom",14,0.833333333333332,0.625,0.978609625668449,0.714285714285714,0.703409992069786,0.863477653631285
"43","Oil","KNN","basic",15,0.499999999999998,0.125,0.957219251336898,0.2,0.186071817192602,0.722765363128492
"44","Oil","KNN","SMOTE",15,0.121212121212121,0.5,0.823529411764706,0.195121951219512,0.135593220338983,0.736382681564246
