"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Oil","tree","basic",1,0.399999999999999,0.25,0.951871657754011,0.307692307692307,0.284134410888984,0.377094972067039
"2","Oil","tree","SMOTE",1,0.0967741935483871,0.375,0.823529411764706,0.153846153846154,0.0920994556421947,0.390712290502793
"3","Oil","tree","Phantom",1,0.25,0.375,0.925133689839572,0.3,0.262119503945886,0.492667597765363
"4","Oil","tree","basic",2,0.428571428571429,0.375,0.951871657754011,0.4,0.375046416635723,0.788058659217877
"5","Oil","tree","SMOTE",2,0.25,0.625,0.903743315508021,0.357142857142857,0.315296989422294,0.762220670391061
"6","Oil","tree","Phantom",2,0.571428571428571,0.5,0.962566844919786,0.533333333333333,0.513924990716673,0.75
"7","Oil","tree","basic",3,0.545454545454545,0.75,0.962566844919786,0.631578947368421,0.612377850162866,0.808310055865922
"8","Oil","tree","SMOTE",3,0.206896551724138,0.75,0.866310160427808,0.324324324324324,0.275755228505035,0.791201117318436
"9","Oil","tree","Phantom",3,0.666666666666666,0.75,0.973262032085562,0.705882352941176,0.691927512355848,0.815991620111732
"10","Oil","tree","basic",4,0.333333333333334,0.5,0.935828877005348,0.4,0.367531003382187,0.705656424581006
"11","Oil","tree","SMOTE",4,0.153846153846154,0.5,0.86096256684492,0.235294117647059,0.18175698418041,0.731843575418994
"12","Oil","tree","Phantom",4,0.272727272727273,0.375,0.93048128342246,0.315789473684211,0.28013029315961,0.412011173184358
"13","Oil","tree","basic",5,0.3,0.375,0.935828877005348,0.333333333333333,0.300062383031815,0.417248603351955
"14","Oil","tree","SMOTE",5,0.176470588235294,0.375,0.898395721925134,0.24,0.193050193050193,0.387220670391061
"15","Oil","tree","Phantom",5,0.25,0.125,0.946524064171123,0.166666666666667,0.142201834862385,0.639315642458101
"16","Oil","tree","basic",6,0.5,0.25,0.957219251336898,0.333333333333333,0.313761467889909,0.704958100558659
"17","Oil","tree","SMOTE",6,0.08,0.25,0.844919786096257,0.121212121212121,0.0603015075376881,0.393156424581006
"18","Oil","tree","Phantom",6,0.333333333333334,0.125,0.951871657754011,0.181818181818182,0.162269785963165,0.526885474860335
"19","Oil","tree","basic",7,0.166666666666667,0.125,0.935828877005348,0.142857142857143,0.110229976209357,0.504888268156425
"20","Oil","tree","SMOTE",7,0.192307692307692,0.625,0.871657754010695,0.294117647058823,0.244698754628071,0.864525139664804
"21","Oil","tree","Phantom",7,0.2,0.125,0.941176470588235,0.153846153846154,0.125053168864313,0.65677374301676
"22","Oil","tree","basic",8,0.571428571428571,0.5,0.962566844919786,0.533333333333333,0.513924990716673,0.846019553072626
"23","Oil","tree","SMOTE",8,0.166666666666667,0.625,0.850267379679144,0.263157894736842,0.209779655900996,0.766759776536313
"24","Oil","tree","Phantom",8,0.6,0.375,0.962566844919786,0.461538461538462,0.443215652913653,0.630237430167598
"25","Oil","tree","basic",9,0.4,0.5,0.946524064171123,0.444444444444445,0.416718652526513,0.582053072625698
