"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","PID","lr","basic",1,0.860927152317881,0.866666666666667,0.821739130434783,0.863787375415282,0.605933974091099,0.865833333333333
"2","PID","lr","SMOTE",1,0.878787878787879,0.773333333333333,0.782608695652174,0.822695035460993,0.544734758511481,0.851
"3","PID","lr","Phantom",1,0.840764331210191,0.88,0.81304347826087,0.859934853420195,0.579327945555083,0.871666666666667
"4","PID","lr","basic",2,0.816455696202532,0.86,0.782608695652174,0.837662337662338,0.50938566552901,0.85475
"5","PID","lr","SMOTE",2,0.848920863309352,0.786666666666667,0.769565217391304,0.816608996539792,0.507872426322164,0.85125
"6","PID","lr","Phantom",2,0.816455696202532,0.86,0.782608695652174,0.837662337662338,0.50938566552901,0.860666666666667
"7","PID","lr","basic",3,0.788819875776397,0.846666666666667,0.752173913043478,0.816720257234727,0.435643564356436,0.825166666666667
"8","PID","lr","SMOTE",3,0.805369127516778,0.8,0.743478260869565,0.802675585284281,0.436227669297881,0.821
"9","PID","lr","Phantom",3,0.801242236024845,0.86,0.769565217391304,0.829581993569132,0.475247524752475,0.836916666666667
"10","PID","lr","basic",4,0.806060606060606,0.886666666666667,0.78695652173913,0.844444444444444,0.508932461873638,0.857916666666667
"11","PID","lr","SMOTE",4,0.819354838709678,0.846666666666667,0.778260869565217,0.832786885245902,0.504016913319239,0.855666666666667
"12","PID","lr","Phantom",4,0.8125,0.866666666666667,0.782608695652174,0.838709677419355,0.506437768240343,0.858166666666667
"13","PID","lr","basic",5,0.784883720930233,0.9,0.773913043478261,0.838509316770186,0.467497773820125,0.846833333333333
"14","PID","lr","SMOTE",5,0.806451612903226,0.833333333333333,0.760869565217391,0.819672131147541,0.465116279069768,0.843083333333333
"15","PID","lr","Phantom",5,0.828947368421053,0.84,0.782608695652174,0.834437086092715,0.51802179379715,0.839
"16","PID","lr","basic",6,0.814814814814815,0.88,0.791304347826087,0.846153846153846,0.523316062176166,0.850583333333333
"17","PID","lr","SMOTE",6,0.833333333333333,0.833333333333333,0.782608695652174,0.833333333333333,0.520833333333333,0.850083333333333
"18","PID","lr","Phantom",6,0.822784810126582,0.866666666666667,0.791304347826087,0.844155844155844,0.52901023890785,0.848833333333333
"19","PID","lr","basic",7,0.810650887573965,0.913333333333333,0.804347826086957,0.858934169278997,0.543449492721659,0.870333333333333
"20","PID","lr","SMOTE",7,0.836601307189542,0.853333333333333,0.795652173913043,0.844884488448845,0.545607398066414,0.871083333333333
"21","PID","lr","Phantom",7,0.856209150326797,0.873333333333333,0.821739130434783,0.864686468646865,0.603614964270702,0.871416666666667
"22","PID","lr","basic",8,0.779661016949153,0.92,0.778260869565217,0.844036697247706,0.469470827679783,0.82275
"23","PID","lr","SMOTE",8,0.787878787878788,0.866666666666667,0.760869565217391,0.825396825396825,0.44880174291939,0.8235
"24","PID","lr","Phantom",8,0.821656050955414,0.86,0.78695652173913,0.840390879478827,0.520629519353467,0.83525
"25","PID","lr","basic",9,0.804878048780488,0.88,0.782608695652174,0.840764331210191,0.500434404865335,0.836583333333333
"26","PID","lr","SMOTE",9,0.841059602649007,0.846666666666667,0.795652173913043,0.843853820598007,0.548265775177601,0.838416666666667
"27","PID","lr","Phantom",9,0.83125,0.886666666666667,0.808695652173913,0.858064516129032,0.565665236051502,0.844583333333333
"28","PID","lr","basic",10,0.827380952380952,0.926666666666667,0.826086956521739,0.874213836477987,0.59542656112577,0.86925
"29","PID","lr","SMOTE",10,0.853333333333333,0.853333333333333,0.808695652173913,0.853333333333333,0.578333333333333,0.865
"30","PID","lr","Phantom",10,0.829113924050633,0.873333333333333,0.8,0.850649350649351,0.54863481228669,0.867916666666667
"31","PID","lr","basic",11,0.8,0.88,0.778260869565217,0.838095238095238,0.488888888888889,0.860833333333333
"32","PID","lr","SMOTE",11,0.815286624203822,0.853333333333333,0.778260869565217,0.833876221498371,0.501063377286261,0.859
"33","PID","lr","Phantom",11,0.821656050955414,0.86,0.78695652173913,0.840390879478827,0.520629519353467,0.860083333333333
"34","PID","lr","basic",12,0.801282051282051,0.833333333333333,0.756521739130435,0.816993464052288,0.453774385072095,0.824583333333333
"35","PID","lr","SMOTE",12,0.826388888888889,0.793333333333333,0.756521739130435,0.809523809523809,0.472563472563472,0.829833333333333
"36","PID","lr","Phantom",12,0.805194805194805,0.826666666666667,0.756521739130435,0.81578947368421,0.456998313659359,0.82775
"37","PID","lr","basic",13,0.807017543859649,0.92,0.804347826086957,0.85981308411215,0.540612516644474,0.833166666666667
"38","PID","lr","SMOTE",13,0.816455696202532,0.86,0.782608695652174,0.837662337662338,0.50938566552901,0.835916666666667
"39","PID","lr","Phantom",13,0.821192052980132,0.826666666666667,0.769565217391304,0.823920265780731,0.490597576264104,0.83475
"40","PID","lr","basic",14,0.824242424242424,0.906666666666667,0.81304347826087,0.863492063492063,0.569063180827887,0.871583333333333
"41","PID","lr","SMOTE",14,0.841059602649007,0.846666666666667,0.795652173913043,0.843853820598007,0.548265775177601,0.873916666666667
"42","PID","lr","Phantom",14,0.83125,0.886666666666667,0.808695652173913,0.858064516129032,0.565665236051502,0.868666666666667
"43","PID","lr","basic",15,0.780487804878049,0.853333333333333,0.747826086956522,0.815286624203822,0.420503909643788,0.820833333333333
"44","PID","lr","SMOTE",15,0.790540540540541,0.78,0.721739130434783,0.785234899328859,0.390223695111848,0.81225
"45","PID","lr","Phantom",15,0.815286624203822,0.853333333333333,0.778260869565217,0.833876221498371,0.501063377286261,0.8275
"46","PID","lr","basic",16,0.779761904761905,0.873333333333333,0.756521739130435,0.823899371069182,0.433597185576077,0.83625
"47","PID","lr","SMOTE",16,0.806896551724138,0.78,0.734782608695652,0.793220338983051,0.423819301848049,0.833416666666667
"48","PID","lr","Phantom",16,0.815789473684211,0.826666666666667,0.765217391304348,0.821192052980132,0.479463537300922,0.845666666666667
"49","PID","lr","basic",17,0.796296296296296,0.86,0.765217391304348,0.826923076923077,0.463730569948187,0.836333333333333
"50","PID","lr","SMOTE",17,0.813333333333333,0.813333333333333,0.756521739130435,0.813333333333333,0.463333333333333,0.832916666666667
"51","PID","lr","Phantom",17,0.816993464052288,0.833333333333333,0.769565217391304,0.825082508250825,0.487599831862127,0.831166666666667
"52","PID","lr","basic",18,0.798816568047337,0.9,0.78695652173913,0.846394984326019,0.502867225408028,0.849583333333333
"53","PID","lr","SMOTE",18,0.817567567567568,0.806666666666667,0.756521739130435,0.812080536912752,0.466445733222867,0.848666666666667
"54","PID","lr","Phantom",18,0.834437086092715,0.84,0.78695652173913,0.837209302325581,0.529043042206435,0.856833333333333
"55","PID","lr","basic",19,0.790123456790123,0.853333333333333,0.756521739130435,0.82051282051282,0.443868739205527,0.806083333333333
"56","PID","lr","SMOTE",19,0.82312925170068,0.806666666666667,0.760869565217391,0.814814814814815,0.477488641057414,0.80925
"57","PID","lr","Phantom",19,0.790123456790123,0.853333333333333,0.756521739130435,0.82051282051282,0.443868739205527,0.797083333333333
"58","PID","lr","basic",20,0.796296296296296,0.86,0.765217391304348,0.826923076923077,0.463730569948187,0.805666666666667
"59","PID","lr","SMOTE",20,0.814569536423841,0.82,0.760869565217391,0.817275747508306,0.471374843292938,0.808833333333333
"60","PID","lr","Phantom",20,0.783950617283951,0.846666666666667,0.747826086956522,0.814102564102564,0.424006908462867,0.814333333333333
"61","PID","lr","basic",21,0.796511627906977,0.913333333333333,0.791304347826087,0.850931677018634,0.508459483526269,0.83375
"62","PID","lr","SMOTE",21,0.813333333333333,0.813333333333333,0.756521739130435,0.813333333333333,0.463333333333333,0.832
"63","PID","lr","Phantom",21,0.845161290322581,0.873333333333333,0.81304347826087,0.859016393442623,0.581818181818182,0.862333333333333
"64","PID","lr","basic",22,0.78021978021978,0.946666666666667,0.791304347826087,0.855421686746988,0.492647058823529,0.860333333333333
"65","PID","lr","SMOTE",22,0.794117647058823,0.9,0.782608695652174,0.84375,0.491150442477876,0.863666666666667
"66","PID","lr","Phantom",22,0.828220858895706,0.9,0.81304347826087,0.862619808306709,0.571676050238198,0.883916666666667
"67","PID","lr","basic",23,0.765822784810126,0.806666666666667,0.71304347826087,0.785714285714286,0.352389078498294,0.785583333333333
"68","PID","lr","SMOTE",23,0.79136690647482,0.733333333333333,0.7,0.761245674740484,0.359305611626968,0.787166666666667
"69","PID","lr","Phantom",23,0.767295597484277,0.813333333333333,0.717391304347826,0.789644012944984,0.360290971330766,0.7835
"70","PID","lr","basic",24,0.775862068965517,0.9,0.765217391304348,0.833333333333333,0.443548387096774,0.799666666666667
"71","PID","lr","SMOTE",24,0.787878787878788,0.866666666666667,0.760869565217391,0.825396825396825,0.44880174291939,0.793833333333333
"72","PID","lr","Phantom",24,0.803921568627451,0.82,0.752173913043478,0.811881188118812,0.448928121059269,0.8
"73","PID","lr","basic",25,0.751552795031056,0.806666666666667,0.7,0.778135048231511,0.316831683168317,0.74675
"74","PID","lr","SMOTE",25,0.758389261744966,0.753333333333333,0.682608695652174,0.755852842809364,0.302451184046531,0.743583333333333
"75","PID","lr","Phantom",25,0.753086419753086,0.813333333333333,0.704347826086957,0.782051282051282,0.324697754749568,0.750583333333333
"76","PID","lr","basic",26,0.784883720930233,0.9,0.773913043478261,0.838509316770186,0.467497773820125,0.819416666666667
"77","PID","lr","SMOTE",26,0.808917197452229,0.846666666666667,0.769565217391304,0.827361563517915,0.481497235219056,0.817
"78","PID","lr","Phantom",26,0.80379746835443,0.846666666666667,0.765217391304348,0.824675324675325,0.470136518771331,0.841666666666667
"79","PID","lr","basic",27,0.78343949044586,0.82,0.734782608695652,0.801302931596091,0.403232666950234,0.815916666666667
"80","PID","lr","SMOTE",27,0.815602836879433,0.766666666666667,0.734782608695652,0.790378006872852,0.430369468128299,0.82
"81","PID","lr","Phantom",27,0.76969696969697,0.846666666666667,0.734782608695652,0.806349206349206,0.388671023965142,0.827833333333333
"82","PID","lr","basic",28,0.771604938271605,0.833333333333333,0.730434782608696,0.801282051282051,0.384283246977547,0.7905
"83","PID","lr","SMOTE",28,0.805369127516778,0.8,0.743478260869565,0.802675585284281,0.436227669297881,0.78925
"84","PID","lr","Phantom",28,0.76219512195122,0.833333333333333,0.721739130434783,0.796178343949045,0.360556038227628,0.77875
"85","PID","lr","basic",29,0.803468208092486,0.926666666666667,0.804347826086957,0.860681114551084,0.537740062527914,0.83775
"86","PID","lr","SMOTE",29,0.807453416149068,0.866666666666667,0.778260869565217,0.836012861736334,0.495049504950495,0.828333333333333
"87","PID","lr","Phantom",29,0.849673202614379,0.866666666666667,0.81304347826087,0.858085808580858,0.584279108869273,0.85625
"88","PID","lr","basic",30,0.784431137724551,0.873333333333333,0.760869565217391,0.826498422712934,0.44541867601929,0.815666666666667
"89","PID","lr","SMOTE",30,0.794871794871795,0.826666666666667,0.747826086956522,0.810457516339869,0.434266327396098,0.817666666666667
"90","PID","lr","Phantom",30,0.794871794871795,0.826666666666667,0.747826086956522,0.810457516339869,0.434266327396098,0.814083333333333
"91","PID","lr","basic",31,0.813664596273292,0.873333333333333,0.78695652173913,0.842443729903537,0.514851485148515,0.844916666666667
"92","PID","lr","SMOTE",31,0.82312925170068,0.806666666666667,0.760869565217391,0.814814814814815,0.477488641057414,0.839833333333333
"93","PID","lr","Phantom",31,0.810126582278481,0.853333333333333,0.773913043478261,0.831168831168831,0.489761092150171,0.842166666666667
"94","PID","lr","basic",32,0.772455089820359,0.86,0.743478260869565,0.813880126182965,0.405085488820693,0.790666666666667
"95","PID","lr","SMOTE",32,0.778481012658228,0.82,0.730434782608696,0.798701298701299,0.391638225255973,0.790166666666667
"96","PID","lr","Phantom",32,0.793333333333333,0.793333333333333,0.730434782608696,0.793333333333333,0.405833333333333,0.8075
"97","PID","lr","basic",33,0.79874213836478,0.846666666666667,0.760869565217391,0.82200647249191,0.458707744972187,0.833583333333333
"98","PID","lr","SMOTE",33,0.810810810810811,0.8,0.747826086956522,0.805369127516779,0.447390223695112,0.828916666666667
"99","PID","lr","Phantom",33,0.828025477707006,0.866666666666667,0.795652173913043,0.846905537459283,0.540195661420672,0.8415
"100","PID","lr","basic",34,0.795031055900621,0.853333333333333,0.760869565217391,0.823151125401929,0.455445544554456,0.8095
"101","PID","lr","SMOTE",34,0.806896551724138,0.78,0.734782608695652,0.793220338983051,0.423819301848049,0.806416666666667
"102","PID","lr","Phantom",34,0.788819875776397,0.846666666666667,0.752173913043478,0.816720257234727,0.435643564356436,0.8035
"103","PID","lr","basic",35,0.80794701986755,0.813333333333333,0.752173913043478,0.81063122923588,0.452152110321772,0.829333333333333
"104","PID","lr","SMOTE",35,0.843283582089552,0.753333333333333,0.747826086956522,0.795774647887324,0.468949044585987,0.822
"105","PID","lr","Phantom",35,0.79375,0.846666666666667,0.756521739130435,0.819354838709677,0.447210300429184,0.82325
"106","PID","lr","basic",36,0.785310734463277,0.926666666666667,0.78695652173913,0.850152905198777,0.490275893260968,0.837
"107","PID","lr","SMOTE",36,0.813664596273292,0.873333333333333,0.78695652173913,0.842443729903537,0.514851485148515,0.835833333333333
"108","PID","lr","Phantom",36,0.833333333333333,0.833333333333333,0.782608695652174,0.833333333333333,0.520833333333333,0.842
"109","PID","lr","basic",37,0.758823529411765,0.86,0.730434782608696,0.80625,0.369026548672566,0.805666666666667
"110","PID","lr","SMOTE",37,0.788461538461539,0.82,0.739130434782609,0.803921568627451,0.414758269720102,0.806
"111","PID","lr","Phantom",37,0.794871794871795,0.826666666666667,0.747826086956522,0.810457516339869,0.434266327396098,0.823666666666667
"112","PID","lr","basic",38,0.768361581920904,0.906666666666667,0.760869565217391,0.831804281345566,0.427860696517413,0.8465
"113","PID","lr","SMOTE",38,0.801282051282051,0.833333333333333,0.756521739130435,0.816993464052288,0.453774385072095,0.846166666666667
"114","PID","lr","Phantom",38,0.828571428571429,0.773333333333333,0.747826086956522,0.8,0.459919028340081,0.855416666666667
"115","PID","lr","basic",39,0.807453416149068,0.866666666666667,0.778260869565217,0.836012861736334,0.495049504950495,0.828083333333333
"116","PID","lr","SMOTE",39,0.812080536912752,0.806666666666667,0.752173913043478,0.809364548494983,0.45533859576236,0.82875
"117","PID","lr","Phantom",39,0.781818181818182,0.86,0.752173913043478,0.819047619047619,0.428758169934641,0.83125
"118","PID","lr","basic",40,0.81437125748503,0.906666666666667,0.804347826086957,0.858044164037855,0.546251644015783,0.86025
"119","PID","lr","SMOTE",40,0.854166666666667,0.82,0.791304347826087,0.836734693877551,0.547911547911548,0.863583333333333
"120","PID","lr","Phantom",40,0.836477987421384,0.886666666666667,0.81304347826087,0.86084142394822,0.576807873341891,0.868666666666667
