"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","PID","nb","basic",1,0.863945578231292,0.846666666666667,0.81304347826087,0.855218855218855,0.59149111937216,0.86525
"2","PID","nb","SMOTE",1,0.888059701492537,0.793333333333333,0.8,0.838028169014085,0.578821656050956,0.870416666666667
"3","PID","nb","Phantom",1,0.851351351351351,0.84,0.8,0.845637583892617,0.561723280861641,0.863916666666667
"4","PID","nb","basic",2,0.76969696969697,0.846666666666667,0.734782608695652,0.806349206349206,0.388671023965142,0.820583333333333
"5","PID","nb","SMOTE",2,0.829787234042553,0.78,0.752173913043478,0.804123711340206,0.467722289890378,0.826166666666667
"6","PID","nb","Phantom",2,0.851351351351351,0.84,0.8,0.845637583892617,0.561723280861641,0.860166666666667
"7","PID","nb","basic",3,0.785276073619632,0.853333333333333,0.752173913043478,0.817891373801917,0.432221741013426,0.826416666666667
"8","PID","nb","SMOTE",3,0.821192052980132,0.826666666666667,0.769565217391304,0.823920265780731,0.490597576264104,0.835083333333333
"9","PID","nb","Phantom",3,0.853333333333333,0.853333333333333,0.808695652173913,0.853333333333333,0.578333333333333,0.87
"10","PID","nb","basic",4,0.808917197452229,0.846666666666667,0.769565217391304,0.827361563517915,0.481497235219056,0.8415
"11","PID","nb","SMOTE",4,0.846715328467153,0.773333333333333,0.760869565217391,0.808362369337979,0.492171818546769,0.836833333333333
"12","PID","nb","Phantom",4,0.868421052631579,0.88,0.834782608695652,0.874172185430464,0.633696563285834,0.89125
"13","PID","nb","basic",5,0.79375,0.846666666666667,0.756521739130435,0.819354838709677,0.447210300429184,0.824583333333333
"14","PID","nb","SMOTE",5,0.804054054054054,0.793333333333333,0.739130434782609,0.798657718120805,0.428334714167357,0.827166666666667
"15","PID","nb","Phantom",5,0.863309352517986,0.8,0.78695652173913,0.830449826989619,0.545014129995963,0.865916666666667
"16","PID","nb","basic",6,0.812121212121212,0.893333333333333,0.795652173913043,0.850793650793651,0.528976034858388,0.855666666666667
"17","PID","nb","SMOTE",6,0.82,0.82,0.765217391304348,0.82,0.4825,0.85725
"18","PID","nb","Phantom",6,0.871621621621622,0.86,0.826086956521739,0.865771812080537,0.618889809444905,0.891916666666667
"19","PID","nb","basic",7,0.801242236024845,0.86,0.769565217391304,0.829581993569132,0.475247524752475,0.824833333333333
"20","PID","nb","SMOTE",7,0.818840579710145,0.753333333333333,0.730434782608696,0.784722222222222,0.425925925925926,0.80875
"21","PID","nb","Phantom",7,0.852941176470588,0.773333333333333,0.765217391304348,0.811188811188811,0.502802241793435,0.85325
"22","PID","nb","basic",8,0.790123456790123,0.853333333333333,0.756521739130435,0.82051282051282,0.443868739205527,0.82975
"23","PID","nb","SMOTE",8,0.835714285714286,0.78,0.756521739130435,0.806896551724138,0.478542510121457,0.8245
"24","PID","nb","Phantom",8,0.860927152317881,0.866666666666667,0.821739130434783,0.863787375415282,0.605933974091099,0.883583333333333
"25","PID","nb","basic",9,0.760233918128655,0.866666666666667,0.734782608695652,0.809968847352025,0.377274744784731,0.796666666666667
"26","PID","nb","SMOTE",9,0.811688311688312,0.833333333333333,0.765217391304348,0.822368421052632,0.476391231028668,0.8025
"27","PID","nb","Phantom",9,0.826666666666667,0.826666666666667,0.773913043478261,0.826666666666667,0.501666666666667,0.838583333333333
"28","PID","nb","basic",10,0.805031446540881,0.853333333333333,0.769565217391304,0.828478964401295,0.478391099700471,0.840916666666667
"29","PID","nb","SMOTE",10,0.826666666666667,0.826666666666667,0.773913043478261,0.826666666666667,0.501666666666667,0.85825
"30","PID","nb","Phantom",10,0.847222222222222,0.813333333333333,0.782608695652174,0.829931972789116,0.529074529074529,0.87575
"31","PID","nb","basic",11,0.803921568627451,0.82,0.752173913043478,0.811881188118812,0.448928121059269,0.82075
"32","PID","nb","SMOTE",11,0.839416058394161,0.766666666666667,0.752173913043478,0.801393728222997,0.473705339221196,0.821583333333333
"33","PID","nb","Phantom",11,0.863945578231292,0.846666666666667,0.81304347826087,0.855218855218855,0.59149111937216,0.86825
"34","PID","nb","basic",12,0.78125,0.833333333333333,0.739130434782609,0.806451612903226,0.407725321888412,0.780083333333333
"35","PID","nb","SMOTE",12,0.788732394366197,0.746666666666667,0.704347826086957,0.767123287671233,0.363192182410424,0.794833333333333
"36","PID","nb","Phantom",12,0.820689655172414,0.793333333333333,0.752173913043478,0.806779661016949,0.461601642710472,0.834583333333333
"37","PID","nb","basic",13,0.785714285714286,0.88,0.765217391304348,0.830188679245283,0.453825857519789,0.84625
"38","PID","nb","SMOTE",13,0.810457516339869,0.826666666666667,0.760869565217391,0.818481848184819,0.468263976460698,0.851166666666667
"39","PID","nb","Phantom",13,0.83448275862069,0.806666666666667,0.769565217391304,0.820338983050847,0.499383983572895,0.85875
"40","PID","nb","basic",14,0.794871794871795,0.826666666666667,0.747826086956522,0.810457516339869,0.434266327396098,0.806916666666667
"41","PID","nb","SMOTE",14,0.821428571428571,0.766666666666667,0.739130434782609,0.793103448275862,0.441295546558704,0.802166666666667
"42","PID","nb","Phantom",14,0.830065359477124,0.846666666666667,0.78695652173913,0.838283828382838,0.526271542664985,0.846166666666667
"43","PID","nb","basic",15,0.790849673202614,0.806666666666667,0.734782608695652,0.798679867986799,0.41025641025641,0.79375
"44","PID","nb","SMOTE",15,0.804195804195804,0.766666666666667,0.726086956521739,0.784982935153584,0.408329930583912,0.79025
"45","PID","nb","Phantom",15,0.842465753424658,0.82,0.782608695652174,0.831081081081081,0.526359143327842,0.84575
"46","PID","nb","basic",16,0.751592356687898,0.786666666666667,0.691304347826087,0.768729641693811,0.305401956614207,0.77125
"47","PID","nb","SMOTE",16,0.76510067114094,0.76,0.691304347826087,0.762541806020067,0.32156211051101,0.756666666666667
"48","PID","nb","Phantom",16,0.810457516339869,0.826666666666667,0.760869565217391,0.818481848184819,0.468263976460698,0.83675
"49","PID","nb","basic",17,0.774390243902439,0.846666666666667,0.739130434782609,0.808917197452229,0.400521285838401,0.811
"50","PID","nb","SMOTE",17,0.805555555555556,0.773333333333333,0.730434782608696,0.789115646258503,0.416052416052416,0.825083333333333
"51","PID","nb","Phantom",17,0.847222222222222,0.813333333333333,0.782608695652174,0.829931972789116,0.529074529074529,0.8745
"52","PID","nb","basic",18,0.794871794871795,0.826666666666667,0.747826086956522,0.810457516339869,0.434266327396098,0.80975
"53","PID","nb","SMOTE",18,0.825174825174825,0.786666666666667,0.752173913043478,0.805460750853242,0.464679461004492,0.814583333333333
