"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Phoneme","nb","basic",1,0.896378269617706,0.778165938864629,0.77962962962963,0.833099579242637,0.513558523702184,0.861451620317168
"2","Phoneme","nb","SMOTE",1,0.913755458515284,0.731004366812227,0.761111111111111,0.812227074235808,0.494883900804073,0.862310273500345
"3","Phoneme","nb","Phantom",1,0.857758620689655,0.868995633187773,0.805555555555556,0.863340563991323,0.526491602486777,0.875765571133073
"4","Phoneme","nb","basic",2,0.884200196270854,0.786899563318777,0.776543209876543,0.83271719038817,0.499697142905893,0.837832222477591
"5","Phoneme","nb","SMOTE",2,0.898089171974522,0.738864628820961,0.756172839506173,0.810733109726881,0.477103353598745,0.839505401057228
"6","Phoneme","nb","Phantom",2,0.860300618921309,0.849781659388646,0.796296296296296,0.855008787346221,0.51272866478904,0.864884394392094
"7","Phoneme","nb","basic",3,0.888661899897855,0.759825327510917,0.762962962962963,0.819209039548023,0.4811546577479,0.848281314640313
"8","Phoneme","nb","SMOTE",3,0.908185840707965,0.717030567685589,0.748765432098765,0.801366520253782,0.472198651958822,0.849463571592737
"9","Phoneme","nb","Phantom",3,0.865736704446382,0.867248908296943,0.811111111111111,0.866492146596859,0.54370817647113,0.873309124339232
"10","Phoneme","nb","basic",4,0.883052527254708,0.778165938864629,0.77037037037037,0.827298050139276,0.488798595264957,0.839159733394622
"11","Phoneme","nb","SMOTE",4,0.897186147186147,0.724017467248908,0.746296296296296,0.801353310778154,0.461232218284216,0.83938588830154
"12","Phoneme","nb","Phantom",4,0.85099052540913,0.862882096069869,0.796296296296296,0.856895056374675,0.503634996239659,0.863365663065962
"13","Phoneme","nb","basic",5,0.880392156862745,0.784279475982533,0.772222222222222,0.829561200923788,0.489731113956466,0.845723741668582
"14","Phoneme","nb","SMOTE",5,0.897408207343413,0.725764192139738,0.747530864197531,0.802510864316755,0.46327198496533,0.845280625143645
"15","Phoneme","nb","Phantom",5,0.866197183098592,0.85938864628821,0.80679012345679,0.862779482683034,0.536415001188539,0.871102735003447
"16","Phoneme","nb","basic",6,0.898406374501992,0.787772925764192,0.787037037037037,0.839460214053048,0.527245351964947,0.863354631119283
"17","Phoneme","nb","SMOTE",6,0.914962325080732,0.74235807860262,0.769135802469136,0.819672131147541,0.508401827225003,0.863700298781889
"18","Phoneme","nb","Phantom",6,0.872695346795435,0.868122270742358,0.817283950617284,0.870402802101576,0.560786612564918,0.886622845322914
"19","Phoneme","nb","basic",7,0.889980353634578,0.791266375545852,0.783333333333333,0.837725381414702,0.515176835715016,0.84779407032866
