"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Phoneme","tree","basic",1,0.745257452574526,0.867507886435331,0.874074074074074,0.801749271137026,0.710258140112914,0.889720140074668
"2","Phoneme","tree","SMOTE",1,0.752808988764045,0.845425867507886,0.873148148148148,0.796433878157504,0.704750806168385,0.872830971881705
"3","Phoneme","tree","Phantom",1,0.764880952380952,0.810725552050473,0.871296296296296,0.787136294027565,0.695011945974938,0.898383849241951
"4","Phoneme","tree","basic",2,0.77602523659306,0.77602523659306,0.868518518518518,0.77602523659306,0.68297150133749,0.903167390881916
"5","Phoneme","tree","SMOTE",2,0.72,0.851735015772871,0.859259259259259,0.780346820809249,0.677871313357273,0.875776757031641
"6","Phoneme","tree","Phantom",2,0.75,0.813880126182965,0.865740740740741,0.780635400907716,0.684136640149743,0.882077636426029
"7","Phoneme","tree","basic",3,0.749253731343284,0.79179810725552,0.861111111111111,0.769938650306748,0.670577709091649,0.895985876769022
"8","Phoneme","tree","SMOTE",3,0.680412371134021,0.832807570977918,0.836111111111111,0.748936170212766,0.629109365784,0.839358583707844
"9","Phoneme","tree","Phantom",3,0.670822942643391,0.848580441640379,0.833333333333333,0.749303621169916,0.627018875454235,0.881722074990387
"10","Phoneme","tree","basic",4,0.810169491525424,0.753943217665615,0.875925925925926,0.781045751633987,0.694638448716055,0.9056687242373
"11","Phoneme","tree","SMOTE",4,0.762611275964392,0.810725552050473,0.87037037037037,0.785932721712538,0.693095875062416,0.86358844177268
"12","Phoneme","tree","Phantom",4,0.769230769230769,0.725552050473186,0.855555555555556,0.746753246753247,0.645837625127703,0.875489413778419
"13","Phoneme","tree","basic",5,0.761764705882353,0.817034700315457,0.871296296296296,0.788432267884323,0.696113360323887,0.894745546179575
"14","Phoneme","tree","SMOTE",5,0.729946524064171,0.861198738170347,0.865740740740741,0.790159189580318,0.692437014400075,0.876756618197304
"15","Phoneme","tree","Phantom",5,0.756756756756757,0.794952681388013,0.864814814814815,0.775384615384615,0.678779656044883,0.887528889366646
"16","Phoneme","tree","basic",6,0.724550898203593,0.763406940063092,0.84537037037037,0.74347158218126,0.632910258810886,0.861403392717606
"17","Phoneme","tree","SMOTE",6,0.717391304347826,0.832807570977918,0.85462962962963,0.770802919708029,0.665224052692265,0.85650822132459
"18","Phoneme","tree","Phantom",6,0.807432432432432,0.753943217665615,0.875,0.779771615008157,0.692648869251396,0.85081717113668
"19","Phoneme","tree","basic",7,0.781045751633987,0.753943217665615,0.865740740740741,0.767255216693419,0.672956920532291,0.893137250848593
"20","Phoneme","tree","SMOTE",7,0.724233983286908,0.82018927444795,0.855555555555556,0.769230769230769,0.664699069006555,0.860039029069215
"21","Phoneme","tree","Phantom",7,0.795918367346939,0.738170347003155,0.867592592592593,0.765957446808511,0.673822135489267,0.882608911361842
"22","Phoneme","tree","basic",8,0.76401179941003,0.817034700315457,0.872222222222222,0.789634146341463,0.698026963614924,0.900845905462002
"23","Phoneme","tree","SMOTE",8,0.730245231607629,0.845425867507886,0.862962962962963,0.783625730994152,0.684136889823374,0.883055430374042
"24","Phoneme","tree","Phantom",8,0.730555555555556,0.829652996845426,0.860185185185185,0.776957163958641,0.675733715103794,0.910408854306635
"25","Phoneme","tree","basic",9,0.77,0.728706624605678,0.856481481481482,0.748784440842788,0.6484375,0.893807029366894
"26","Phoneme","tree","SMOTE",9,0.717678100263852,0.858044164037855,0.859259259259259,0.781609195402299,0.67899506055996,0.858848311703346
"27","Phoneme","tree","Phantom",9,0.749152542372881,0.697160883280757,0.842592592592593,0.722222222222222,0.612601017027831,0.841808236622001
"28","Phoneme","tree","basic",10,0.754437869822485,0.804416403785489,0.865740740740741,0.778625954198473,0.682422511904086,0.884984144440632
"29","Phoneme","tree","SMOTE",10,0.743093922651934,0.848580441640379,0.869444444444444,0.792341678939617,0.697744396719411,0.872971542681843
"30","Phoneme","tree","Phantom",10,0.799283154121864,0.703470031545741,0.861111111111111,0.748322147651007,0.652951837427216,0.877579370821636
"31","Phoneme","tree","basic",11,0.770588235294118,0.826498422712934,0.876851851851852,0.797564687975647,0.709230769230769,0.899493945119506
"32","Phoneme","tree","SMOTE",11,0.748587570621469,0.83596214511041,0.869444444444444,0.789865871833085,0.69558855278624,0.868454672118609
"33","Phoneme","tree","Phantom",11,0.761194029850746,0.804416403785489,0.868518518518518,0.782208588957055,0.688146897940094,0.88805809708481
"34","Phoneme","tree","basic",12,0.810344827586207,0.741324921135647,0.873148148148148,0.774299835255354,0.686326054695781,0.908837768893336
"35","Phoneme","tree","SMOTE",12,0.761363636363636,0.845425867507886,0.876851851851852,0.801195814648729,0.712347201973758,0.885746947753141
"36","Phoneme","tree","Phantom",12,0.773333333333333,0.73186119873817,0.858333333333333,0.752025931928687,0.652973790322581,0.8722831592047
"37","Phoneme","tree","basic",13,0.74294670846395,0.747634069400631,0.85,0.745283018867925,0.638985296120371,0.869426264413675
"38","Phoneme","tree","SMOTE",13,0.725212464589235,0.807570977917981,0.853703703703704,0.764179104477612,0.658582067155131,0.84322221349397
"39","Phoneme","tree","Phantom",13,0.724340175953079,0.779179810725552,0.848148148148148,0.750759878419453,0.64178090226233,0.864276825249823
"40","Phoneme","tree","basic",14,0.744807121661721,0.79179810725552,0.859259259259259,0.767584097859327,0.666789807210623,0.869074837413332
"41","Phoneme","tree","SMOTE",14,0.742774566473988,0.810725552050473,0.862037037037037,0.77526395173454,0.67600608847619,0.862972410913255
"42","Phoneme","tree","Phantom",14,0.69187675070028,0.779179810725552,0.833333333333333,0.732937685459941,0.612426283239829,0.881180463966329
"43","Phoneme","tree","basic",15,0.736994219653179,0.804416403785489,0.858333333333333,0.769230769230769,0.667308265348034,0.884550028734325
"44","Phoneme","tree","SMOTE",15,0.707446808510638,0.839116719242902,0.850925925925926,0.767676767676768,0.65909625609737,0.865281493027275
"45","Phoneme","tree","Phantom",15,0.704225352112676,0.788643533123028,0.840740740740741,0.744047619047619,0.628991991052348,0.827383191866739
"46","Phoneme","tree","basic",16,0.784053156146179,0.744479495268139,0.864814814814815,0.763754045307443,0.669160690381573,0.885232210558521
"47","Phoneme","tree","SMOTE",16,0.742774566473988,0.810725552050473,0.862037037037037,0.77526395173454,0.67600608847619,0.874333839112585
"48","Phoneme","tree","Phantom",16,0.76241134751773,0.678233438485804,0.843518518518519,0.717863105175292,0.610109968983107,0.888031223255372
"49","Phoneme","tree","basic",17,0.751445086705202,0.82018927444795,0.867592592592593,0.784313725490196,0.689052823168424,0.893273687213432
"50","Phoneme","tree","SMOTE",17,0.727034120734908,0.873817034700315,0.866666666666667,0.793696275071633,0.696419578126281,0.865496483662779
"51","Phoneme","tree","Phantom",17,0.749163879598662,0.706624605678233,0.844444444444444,0.727272727272727,0.618594365522142,0.85906330233885
"52","Phoneme","tree","basic",18,0.728813559322034,0.813880126182965,0.856481481481482,0.769001490312966,0.665363302708278,0.887404856307701
"53","Phoneme","tree","SMOTE",18,0.695187165775401,0.82018927444795,0.841666666666667,0.752532561505065,0.637287789395951,0.827740820520029
