"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Satimage","lr","basic",1,0,0,0.901244167962675,NA,-0.00307083809313337,0.786900947459087
"2","Satimage","lr","SMOTE",1,0.1931330472103,0.72,0.680404354587869,0.304568527918782,0.178671879613256,0.781016365202412
"3","Satimage","lr","Phantom",1,0.363636363636364,0.032,0.900466562986003,0.0588235294117647,0.0437884121617702,0.785977605512489
"4","Satimage","lr","basic",2,0.500000000000014,0.008,0.902799377916019,0.015748031496063,0.0127255530579394,0.76660120585702
"5","Satimage","lr","SMOTE",2,0.186516853932584,0.664,0.685847589424572,0.291228070175439,0.164411277482027,0.761391903531438
"6","Satimage","lr","Phantom",2,0.250000000000002,0.008,0.901244167962675,0.0155038759689923,0.00953339721275494,0.759118001722653
"7","Satimage","lr","basic",3,0.500000000000014,0.008,0.902799377916019,0.015748031496063,0.0127255530579394,0.731390180878553
"8","Satimage","lr","SMOTE",3,0.159550561797753,0.568,0.667185069984448,0.249122807017544,0.114772343471059,0.726208440999139
"9","Satimage","lr","Phantom",3,0.142857142857142,0.008,0.898911353032659,0.0151515151515151,0.00489279889525207,0.731817398794143
"10","Satimage","lr","basic",4,0.599999999999998,0.024,0.903576982892691,0.0461538461538461,0.0389682396191179,0.760937123169681
"11","Satimage","lr","SMOTE",4,0.17910447761194,0.672,0.668740279937792,0.282828282828283,0.152788130534429,0.743917312661499
"12","Satimage","lr","Phantom",4,0.444444444444445,0.032,0.902021772939347,0.0597014925373134,0.047261780166281,0.760337639965547
"13","Satimage","lr","basic",5,0.666666666666665,0.032,0.904354587869362,0.0610687022900763,0.0526334702873636,0.765209302325581
"14","Satimage","lr","SMOTE",5,0.176470588235294,0.696,0.654743390357698,0.281553398058252,0.149686223935142,0.756589147286822
"15","Satimage","lr","Phantom",5,0.583333333333334,0.056,0.904354587869362,0.102189781021898,0.0866371793835403,0.76147459086994
"16","Satimage","lr","basic",6,0.500000000000003,0.024,0.902799377916019,0.0458015267175573,0.0372291364708971,0.758339362618432
"17","Satimage","lr","SMOTE",6,0.182389937106918,0.696,0.667185069984448,0.289036544850498,0.159582362479807,0.742876830318691
"18","Satimage","lr","Phantom",6,0.25,0.024,0.898133748055988,0.0437956204379562,0.0272314674735262,0.749443583118002
"19","Satimage","lr","basic",7,0.499999999999998,0.016,0.902799377916019,0.0310077519379845,0.0251312964692468,0.769329888027562
"20","Satimage","lr","SMOTE",7,0.188284518828452,0.72,0.671073094867807,0.298507462686567,0.170712149253458,0.766353143841516
"21","Satimage","lr","Phantom",7,0.333333333333334,0.04,0.898911353032659,0.0714285714285715,0.0516762153270196,0.772809646856158
"22","Satimage","lr","basic",8,0.400000000000003,0.016,0.902021772939347,0.0307692307692308,0.0234677273549103,0.789898363479759
"23","Satimage","lr","SMOTE",8,0.186746987951807,0.744,0.660186625194401,0.298555377207063,0.169498638939052,0.77801894918174
"24","Satimage","lr","Phantom",8,0.249999999999998,0.016,0.899688958009331,0.0300751879699248,0.0185993681894024,0.789161068044789
"25","Satimage","lr","basic",9,0.166666666666667,0.008,0.899688958009331,0.0152671755725191,0.00642046883796613,0.734511627906977
"26","Satimage","lr","SMOTE",9,0.173913043478261,0.672,0.657853810264386,0.276315789473684,0.144142372696774,0.740871662360034
"27","Satimage","lr","Phantom",9,0.2,0.024,0.895800933125972,0.0428571428571429,0.0224970219524656,0.731369509043928
"28","Satimage","lr","basic",10,0.599999999999998,0.024,0.903576982892691,0.0461538461538461,0.0389682396191179,0.773071490094746
"29","Satimage","lr","SMOTE",10,0.186936936936937,0.664,0.686625194401244,0.291739894551845,0.16508842757123,0.768585701981051
"30","Satimage","lr","Phantom",10,0.466666666666669,0.056,0.902021772939347,0.1,0.0808554087015725,0.761095607235142
"31","Satimage","lr","basic",11,0.599999999999998,0.024,0.903576982892691,0.0461538461538461,0.0389682396191179,0.779507321274763
"32","Satimage","lr","SMOTE",11,0.184959349593496,0.728,0.661741835147745,0.294975688816856,0.16563503971888,0.784254952627046
"33","Satimage","lr","Phantom",11,0.352941176470588,0.048,0.898911353032659,0.0845070422535211,0.0626927260290875,0.77592420327304
"34","Satimage","lr","basic",12,0.428571428571426,0.024,0.902021772939347,0.0454545454545454,0.0355114820061671,0.796320413436692
"35","Satimage","lr","SMOTE",12,0.2,0.784,0.674183514774495,0.31869918699187,0.19383294184533,0.788761412575366
"36","Satimage","lr","Phantom",12,0.5625,0.072,0.904354587869362,0.127659574468085,0.107981909026315,0.790256675279931
"37","Satimage","lr","basic",13,0.666666666666665,0.032,0.904354587869362,0.0610687022900763,0.0526334702873636,0.772885443583118
