"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Satimage","nb","basic",1,0.414179104477612,0.888,0.867029548989114,0.564885496183206,0.498387310161087,0.936303186907838
"2","Satimage","nb","SMOTE",1,0.402214022140221,0.872,0.861586314152411,0.55050505050505,0.48152912984195,0.9357278208441
"3","Satimage","nb","Phantom",1,0.414448669201521,0.872,0.867807153965785,0.561855670103093,0.495357995281821,0.939531438415159
"4","Satimage","nb","basic",2,0.351791530944625,0.864,0.83203732503888,0.5,0.41985204740164,0.930322136089578
"5","Satimage","nb","SMOTE",2,0.349358974358974,0.872,0.829704510108865,0.498855835240275,0.418089928964301,0.930422049956934
"6","Satimage","nb","Phantom",2,0.361204013377927,0.864,0.838258164852255,0.509433962264151,0.4314983188598,0.933608957795004
"7","Satimage","nb","basic",3,0.41970802919708,0.92,0.868584758942457,0.576441102756892,0.511184982929013,0.952654608096469
"8","Satimage","nb","SMOTE",3,0.413669064748202,0.92,0.86547433903577,0.570719602977668,0.504236136180302,0.951758828596038
"9","Satimage","nb","Phantom",3,0.420074349442379,0.904,0.869362363919129,0.573604060913706,0.508349376698208,0.955517657192076
"10","Satimage","nb","basic",4,0.413793103448276,0.864,0.867807153965785,0.559585492227979,0.492932788428977,0.926277347114556
"11","Satimage","nb","SMOTE",4,0.403703703703704,0.872,0.862363919129082,0.551898734177215,0.483229277816877,0.925912144702842
"12","Satimage","nb","Phantom",4,0.422924901185771,0.856,0.872472783825817,0.566137566137566,0.501241551537396,0.929753660637382
"13","Satimage","nb","basic",5,0.375886524822695,0.848,0.848367029548989,0.520884520884521,0.446304056948302,0.917133505598622
"14","Satimage","nb","SMOTE",5,0.373665480427046,0.84,0.847589424572317,0.517241379310345,0.442188613438497,0.918077519379845
"15","Satimage","nb","Phantom",5,0.371929824561404,0.848,0.846034214618974,0.517073170731707,0.441617508387974,0.921312661498708
"16","Satimage","nb","basic",6,0.368421052631579,0.84,0.84447900466563,0.512195121951219,0.435977281199974,0.918315245478036
"17","Satimage","nb","SMOTE",6,0.353535353535353,0.84,0.835147744945568,0.497630331753554,0.418002655611581,0.918418604651163
"18","Satimage","nb","Phantom",6,0.355932203389831,0.84,0.836702954898911,0.5,0.420931878122521,0.923751937984496
"19","Satimage","nb","basic",7,0.402298850574713,0.84,0.863141524105754,0.544041450777202,0.475036298608824,0.927024978466839
"20","Satimage","nb","SMOTE",7,0.394833948339483,0.856,0.858475894245723,0.54040404040404,0.469878099051881,0.928130921619294
"21","Satimage","nb","Phantom",7,0.410852713178295,0.848,0.867029548989114,0.553524804177546,0.486246548203664,0.93161068044789
"22","Satimage","nb","basic",8,0.392592592592592,0.848,0.857698289269051,0.536708860759494,0.46571162621745,0.933622739018088
"23","Satimage","nb","SMOTE",8,0.378947368421053,0.864,0.849144634525661,0.526829268292683,0.452897962763974,0.933457364341085
"24","Satimage","nb","Phantom",8,0.380782918149466,0.856,0.850699844479005,0.527093596059113,0.453572519286691,0.936110249784668
"25","Satimage","nb","basic",9,0.376712328767123,0.88,0.846811819595645,0.52757793764988,0.453134511356425,0.938690783807063
"26","Satimage","nb","SMOTE",9,0.370748299319728,0.872,0.843701399688958,0.520286396181384,0.444515122471171,0.937846683893195
"27","Satimage","nb","Phantom",9,0.383802816901409,0.872,0.851477449455676,0.533007334963325,0.460131787750509,0.939989664082687
"28","Satimage","nb","basic",10,0.387096774193548,0.864,0.853810264385692,0.534653465346535,0.462491718431104,0.916468561584841
"29","Satimage","nb","SMOTE",10,0.380281690140845,0.864,0.849922239502333,0.528117359413203,0.454478717465174,0.915769164513351
"30","Satimage","nb","Phantom",10,0.383211678832117,0.84,0.85303265940902,0.526315789473684,0.453337051914694,0.923190353143841
"31","Satimage","nb","basic",11,0.36551724137931,0.848,0.842146189735614,0.510843373493976,0.433946963290618,0.918880275624462
"32","Satimage","nb","SMOTE",11,0.363945578231292,0.856,0.840590979782271,0.510739856801909,0.433460697047712,0.919748492678725
"33","Satimage","nb","Phantom",11,0.373665480427046,0.84,0.847589424572317,0.517241379310345,0.442188613438497,0.922425495262705
"34","Satimage","nb","basic",12,0.380769230769231,0.792,0.854587869362364,0.514285714285714,0.440882564925252,0.913312661498708
"35","Satimage","nb","SMOTE",12,0.368029739776952,0.792,0.847589424572317,0.50253807106599,0.426407606147909,0.914249784668389
"36","Satimage","nb","Phantom",12,0.383141762452107,0.8,0.855365474339036,0.518134715025907,0.445208815575234,0.916771748492679
"37","Satimage","nb","basic",13,0.377224199288256,0.848,0.849144634525661,0.522167487684729,0.447880566362594,0.918776916451335
"38","Satimage","nb","SMOTE",13,0.369718309859155,0.84,0.845256609642302,0.513447432762836,0.437519506609169,0.918422049956934
"39","Satimage","nb","Phantom",13,0.367857142857143,0.824,0.845256609642302,0.508641975308642,0.432349222545084,0.919276485788114
"40","Satimage","nb","basic",14,0.359322033898305,0.848,0.838258164852255,0.504761904761905,0.426446812616592,0.92683548664944
"41","Satimage","nb","SMOTE",14,0.36026936026936,0.856,0.838258164852255,0.507109004739337,0.428983737581173,0.9266391042205
"42","Satimage","nb","Phantom",14,0.355932203389831,0.84,0.836702954898911,0.5,0.420931878122521,0.927590008613264
"43","Satimage","nb","basic",15,0.387096774193548,0.864,0.853810264385692,0.534653465346535,0.462491718431104,0.933512489233419
"44","Satimage","nb","SMOTE",15,0.381625441696113,0.864,0.850699844479005,0.529411764705882,0.456066687521204,0.932337639965547
"45","Satimage","nb","Phantom",15,0.385714285714286,0.864,0.85303265940902,0.533333333333333,0.46087438724131,0.933691645133506
"46","Satimage","nb","basic",16,0.369491525423729,0.872,0.842923794712286,0.519047619047619,0.442991616098806,0.926780361757106
"47","Satimage","nb","SMOTE",16,0.360927152317881,0.872,0.837480559875583,0.510538641686183,0.432513692353818,0.926976744186046
"48","Satimage","nb","Phantom",16,0.374570446735395,0.872,0.846034214618974,0.524038461538462,0.449126617715144,0.930573643410853
"49","Satimage","nb","basic",17,0.392086330935252,0.872,0.856143079315708,0.540942928039702,0.469847891291075,0.934356589147287
"50","Satimage","nb","SMOTE",17,0.382978723404255,0.864,0.851477449455676,0.530712530712531,0.457661922446799,0.932995693367786
"51","Satimage","nb","Phantom",17,0.392857142857143,0.88,0.856143079315708,0.54320987654321,0.472284453119801,0.937857019810508
"52","Satimage","nb","basic",18,0.350819672131148,0.856,0.83203732503888,0.497674418604651,0.417330564470455,0.921450473729543
