"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Satimage","tree","basic",1,0.56989247311828,0.566844919786096,0.916537065837221,0.568364611260054,0.522166987459093,0.798596486919577
"2","Satimage","tree","SMOTE",1,0.461279461279461,0.732620320855615,0.891135303265941,0.566115702479339,0.507524089486699,0.811678444470367
"3","Satimage","tree","Phantom",1,0.655502392344498,0.732620320855615,0.936754795230689,0.691919191919192,0.656800608996701,0.848829177845859
"4","Satimage","tree","basic",2,0.5,0.470588235294118,0.903058579574909,0.484848484848485,0.431397707766199,0.700189406730232
"5","Satimage","tree","SMOTE",2,0.409523809523809,0.689839572192513,0.873509590461379,0.51394422310757,0.446620296561746,0.77510943841058
"6","Satimage","tree","Phantom",2,0.624365482233503,0.657754010695187,0.92846034214619,0.640625,0.600931253354281,0.815845699515585
"7","Satimage","tree","basic",3,0.627329192546584,0.540106951871658,0.92431311560394,0.580459770114943,0.539119392287073,0.751700669830608
"8","Satimage","tree","SMOTE",3,0.438311688311688,0.72192513368984,0.883359253499222,0.545454545454545,0.483096194544716,0.841725658011874
"9","Satimage","tree","Phantom",3,0.648648648648649,0.641711229946524,0.931570762052877,0.645161290322581,0.607296752920274,0.777727978781535
"10","Satimage","tree","basic",4,0.593023255813954,0.545454545454545,0.919647485743909,0.568245125348189,0.52403200978059,0.753941624661554
"11","Satimage","tree","SMOTE",4,0.41358024691358,0.716577540106952,0.87402799377916,0.524461839530333,0.457809501667355,0.785823044383185
"12","Satimage","tree","Phantom",4,0.606965174129353,0.6524064171123,0.925349922239502,0.628865979381443,0.587427481664335,0.800551950244663
"13","Satimage","tree","basic",5,0.559782608695652,0.550802139037433,0.914463452566096,0.555256064690027,0.507940875915794,0.779876839578332
"14","Satimage","tree","SMOTE",5,0.446945337620579,0.74331550802139,0.885951270088129,0.558232931726908,0.497375427558958,0.809419070832591
"15","Satimage","tree","Phantom",5,0.588235294117647,0.695187165775401,0.923276308968377,0.637254901960784,0.59468921516572,0.781695696752764
"16","Satimage","tree","basic",6,0.540983606557377,0.529411764705882,0.910834629341628,0.535135135135135,0.485829583069885,0.742950201685935
"17","Satimage","tree","SMOTE",6,0.389473684210526,0.79144385026738,0.859512700881286,0.522045855379189,0.450665862426612,0.843888332913794
"18","Satimage","tree","Phantom",6,0.572164948453608,0.593582887700535,0.917573872472784,0.582677165354331,0.536965215514053,0.751869508893214
"19","Satimage","tree","basic",7,0.612716763005781,0.566844919786096,0.923276308968377,0.588888888888889,0.546649559022959,0.79099719420176
"20","Satimage","tree","SMOTE",7,0.441441441441441,0.786096256684492,0.882840850181441,0.565384615384615,0.503773314301715,0.85368867304776
"21","Satimage","tree","Phantom",7,0.617511520737327,0.716577540106952,0.929497148781752,0.663366336633663,0.624234055901386,0.807947101186785
"22","Satimage","tree","basic",8,0.56441717791411,0.491978609625668,0.913945049248315,0.525714285714286,0.478638462490313,0.77292834470183
"23","Satimage","tree","SMOTE",8,0.421538461538461,0.732620320855615,0.876620010368066,0.53515625,0.469919108461167,0.81984104569706
"24","Satimage","tree","Phantom",8,0.619047619047619,0.625668449197861,0.926386728875065,0.622340425531915,0.581560543706406,0.770799437612432
"25","Satimage","tree","basic",9,0.628571428571429,0.588235294117647,0.926386728875065,0.607734806629834,0.56716620736733,0.783809254836472
"26","Satimage","tree","SMOTE",9,0.404761904761905,0.727272727272727,0.86988076723691,0.520076481835564,0.451791943641496,0.777714164676412
"27","Satimage","tree","Phantom",9,0.621621621621622,0.614973262032086,0.926386728875065,0.618279569892473,0.577546506929386,0.753662272757971
"28","Satimage","tree","basic",10,0.561111111111111,0.540106951871658,0.914463452566096,0.550408719346049,0.503163326948923,0.809405256727469
"29","Satimage","tree","SMOTE",10,0.455414012738853,0.764705882352941,0.888543286677035,0.570858283433134,0.511497739086188,0.83338654321973
"30","Satimage","tree","Phantom",10,0.585714285714286,0.657754010695187,0.921721099015034,0.619647355163728,0.576181517388287,0.837117886503312
"31","Satimage","tree","basic",11,0.561497326203209,0.561497326203209,0.914981855883878,0.561497326203209,0.514424995548788,0.721481547425358
"32","Satimage","tree","SMOTE",11,0.440366972477064,0.770053475935829,0.882840850181441,0.560311284046693,0.498446861970898,0.815244018492482
"33","Satimage","tree","Phantom",11,0.632124352331606,0.6524064171123,0.929497148781752,0.642105263157895,0.603013143917268,0.811121275563769
"34","Satimage","tree","basic",12,0.579710144927536,0.427807486631016,0.914463452566096,0.492307692307692,0.446762023455058,0.737921867421428
"35","Satimage","tree","SMOTE",12,0.418685121107266,0.647058823529412,0.878693623639191,0.508403361344538,0.442814503566147,0.770517015907709
"36","Satimage","tree","Phantom",12,0.637755102040816,0.668449197860963,0.931052358735096,0.652741514360313,0.614491595079211,0.844104753894043
"37","Satimage","tree","basic",13,0.55,0.529411764705882,0.912389839294972,0.539509536784741,0.491118801541625,0.724040226674116
"38","Satimage","tree","SMOTE",13,0.413793103448276,0.705882352941177,0.874546397096941,0.521739130434783,0.455140714872637,0.76622696881696
"39","Satimage","tree","Phantom",13,0.666666666666667,0.684491978609626,0.936236391912908,0.675461741424802,0.64011357793239,0.806998532635056
"40","Satimage","tree","basic",14,0.575609756097561,0.631016042780749,0.919129082426128,0.602040816326531,0.557137769353258,0.794234299502078
"41","Satimage","tree","SMOTE",14,0.411960132890366,0.663101604278075,0.875583203732504,0.508196721311476,0.441394438558939,0.746052235736169
"42","Satimage","tree","Phantom",14,0.589622641509434,0.668449197860963,0.922757905650596,0.6265664160401,0.583678914457627,0.798751511877061
"43","Satimage","tree","basic",15,0.556213017751479,0.502673796791444,0.912908242612753,0.52808988764045,0.480252374430249,0.669895074197093
"44","Satimage","tree","SMOTE",15,0.447019867549669,0.72192513368984,0.88646967340591,0.552147239263804,0.491227013740271,0.798237320186398
"45","Satimage","tree","Phantom",15,0.64367816091954,0.598930481283422,0.928978745463971,0.620498614958449,0.581378218988647,0.788694843348048
"46","Satimage","tree","basic",16,0.564102564102564,0.588235294117647,0.91601866251944,0.575916230366492,0.529333622512606,0.804570319934675
"47","Satimage","tree","SMOTE",16,0.416666666666667,0.748663101604278,0.87402799377916,0.535372848948375,0.469264710378022,0.779663488399222
"48","Satimage","tree","Phantom",16,0.593457943925234,0.679144385026738,0.923794712286159,0.633416458852868,0.591109066710118,0.777209182389165
"49","Satimage","tree","basic",17,0.565,0.60427807486631,0.916537065837221,0.583979328165375,0.537653169535657,0.74172535103176
"50","Satimage","tree","SMOTE",17,0.395894428152493,0.72192513368984,0.866251944012442,0.511363636363636,0.441420551349192,0.746802802114479
"51","Satimage","tree","Phantom",17,0.634920634920635,0.641711229946524,0.929497148781752,0.638297872340426,0.599241084113177,0.812864922610313
"52","Satimage","tree","basic",18,0.605555555555555,0.582887700534759,0.922757905650596,0.594005449591281,0.551341428578118,0.784803870405275
"53","Satimage","tree","SMOTE",18,0.418994413407821,0.802139037433155,0.872991187143598,0.55045871559633,0.484850334582134,0.837698078918448
"54","Satimage","tree","Phantom",18,0.642487046632125,0.663101604278075,0.931570762052877,0.652631578947369,0.614689227919702,0.806373828103416
"55","Satimage","tree","basic",19,0.524390243902439,0.459893048128342,0.907205806117159,0.49002849002849,0.439228704183401,0.728118457486324
"56","Satimage","tree","SMOTE",19,0.420454545454546,0.79144385026738,0.87402799377916,0.549165120593692,0.483805995707441,0.826270744181192
"57","Satimage","tree","Phantom",19,0.6,0.705882352941177,0.925868325557284,0.648648648648649,0.607515690294711,0.808473572082
"58","Satimage","tree","basic",20,0.559139784946237,0.556149732620321,0.914463452566096,0.557640750670241,0.510295359818325,0.731711659718683
"59","Satimage","tree","SMOTE",20,0.398176291793313,0.700534759358289,0.868325557283567,0.507751937984496,0.438317219179244,0.740592594411734
"60","Satimage","tree","Phantom",20,0.683229813664596,0.588235294117647,0.933644375324002,0.632183908045977,0.595940289128392,0.808901809340791
"61","Satimage","tree","basic",21,0.591397849462365,0.588235294117647,0.920684292379471,0.589812332439678,0.545910242740629,0.730374761322962
"62","Satimage","tree","SMOTE",21,0.440251572327044,0.748663101604278,0.883359253499222,0.554455445544554,0.492494852159637,0.786530633545559
"63","Satimage","tree","Phantom",21,0.581151832460733,0.593582887700535,0.919129082426128,0.587301587301587,0.542479566021212,0.780297402334277
"64","Satimage","tree","basic",22,0.566666666666667,0.545454545454545,0.915500259201659,0.555858310626703,0.509185589652573,0.738967134709014
"65","Satimage","tree","SMOTE",22,0.422155688622754,0.754010695187166,0.876101607050285,0.54126679462572,0.476156497097466,0.822831032005747
"66","Satimage","tree","Phantom",22,0.647668393782383,0.668449197860963,0.93260756868844,0.657894736842105,0.620527269920919,0.830505534851452
"67","Satimage","tree","basic",23,0.543147208121827,0.572192513368984,0.91187143597719,0.557291666666667,0.508393572972665,0.783792370930211
"68","Satimage","tree","SMOTE",23,0.387878787878788,0.684491978609626,0.864696734059098,0.495164410058027,0.423864794998815,0.71701038206745
"69","Satimage","tree","Phantom",23,0.620111731843575,0.593582887700535,0.925349922239502,0.60655737704918,0.565342029330212,0.748704543919645
"70","Satimage","tree","basic",24,0.615894039735099,0.497326203208556,0.921202695697252,0.550295857988166,0.507650353971601,0.746514240807481
"71","Satimage","tree","SMOTE",24,0.449838187702265,0.74331550802139,0.886988076723691,0.560483870967742,0.500103421467444,0.773655887571603
