"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Sonar","KNN","basic",1,0.730769230769231,0.863636363636364,0.75609756097561,0.791666666666667,0.502427184466019,0.900717703349282
"2","Sonar","KNN","SMOTE",1,0.777777777777778,0.954545454545455,0.829268292682927,0.857142857142857,0.650426309378806,0.94377990430622
"3","Sonar","KNN","Phantom",1,0.782608695652174,0.818181818181818,0.780487804878049,0.8,0.557022809123649,0.90311004784689
"4","Sonar","KNN","basic",2,0.8,0.909090909090909,0.829268292682927,0.851063829787234,0.652962515114873,0.946172248803828
"5","Sonar","KNN","SMOTE",2,0.954545454545454,0.954545454545455,0.951219512195122,0.954545454545454,0.901913875598086,0.973684210526316
"6","Sonar","KNN","Phantom",2,0.95,0.863636363636364,0.902439024390244,0.904761904761905,0.805225653206651,0.95933014354067
"7","Sonar","KNN","basic",3,0.91304347826087,0.954545454545455,0.926829268292683,0.933333333333333,0.85234093637455,0.973684210526316
"8","Sonar","KNN","SMOTE",3,0.954545454545454,0.954545454545455,0.951219512195122,0.954545454545454,0.901913875598086,0.976076555023923
"9","Sonar","KNN","Phantom",3,1,0.863636363636364,0.926829268292683,0.926829268292683,0.854437869822485,0.954545454545455
"10","Sonar","KNN","basic",4,0.952380952380952,0.909090909090909,0.926829268292683,0.930232558139535,0.853396901072706,0.966507177033493
"11","Sonar","KNN","SMOTE",4,0.869565217391304,0.909090909090909,0.878048780487805,0.888888888888889,0.75390156062425,0.962918660287081
"12","Sonar","KNN","Phantom",4,0.954545454545454,0.954545454545455,0.951219512195122,0.954545454545454,0.901913875598086,0.947368421052632
"13","Sonar","KNN","basic",5,0.709677419354839,1,0.780487804878049,0.830188679245283,0.543881334981459,0.92822966507177
"14","Sonar","KNN","SMOTE",5,0.761904761904762,0.727272727272727,0.731707317073171,0.744186046511628,0.462455303933254,0.844497607655502
"15","Sonar","KNN","Phantom",5,0.904761904761905,0.863636363636364,0.878048780487805,0.883720930232558,0.755661501787843,0.947368421052632
"16","Sonar","KNN","basic",6,0.777777777777778,0.954545454545455,0.829268292682927,0.857142857142857,0.650426309378806,0.933014354066986
"17","Sonar","KNN","SMOTE",6,0.863636363636364,0.863636363636364,0.853658536585366,0.863636363636364,0.705741626794258,0.930622009569378
"18","Sonar","KNN","Phantom",6,0.724137931034483,0.954545454545455,0.780487804878049,0.823529411764706,0.547239263803681,0.913875598086124
"19","Sonar","KNN","basic",7,0.782608695652174,0.818181818181818,0.780487804878049,0.8,0.557022809123649,0.881578947368421
"20","Sonar","KNN","SMOTE",7,0.863636363636364,0.863636363636364,0.853658536585366,0.863636363636364,0.705741626794258,0.895933014354067
"21","Sonar","KNN","Phantom",7,0.730769230769231,0.863636363636364,0.75609756097561,0.791666666666667,0.502427184466019,0.877990430622009
"22","Sonar","KNN","basic",8,0.772727272727273,0.772727272727273,0.75609756097561,0.772727272727273,0.509569377990431,0.882775119617225
"23","Sonar","KNN","SMOTE",8,0.857142857142857,0.818181818181818,0.829268292682927,0.837209302325581,0.65792610250298,0.885167464114832
"24","Sonar","KNN","Phantom",8,0.882352941176471,0.681818181818182,0.780487804878049,0.769230769230769,0.566392479435958,0.876794258373206
"25","Sonar","KNN","basic",9,0.727272727272727,0.727272727272727,0.707317073170732,0.727272727272727,0.411483253588517,0.784688995215311
"26","Sonar","KNN","SMOTE",9,0.739130434782609,0.772727272727273,0.731707317073171,0.755555555555556,0.458583433373349,0.787081339712919
"27","Sonar","KNN","Phantom",9,0.789473684210526,0.681818181818182,0.731707317073171,0.731707317073171,0.466272189349112,0.807416267942584
"28","Sonar","KNN","basic",10,0.645161290322581,0.909090909090909,0.682926829268293,0.754716981132075,0.341161928306551,0.913875598086124
"29","Sonar","KNN","SMOTE",10,0.8,0.909090909090909,0.829268292682927,0.851063829787234,0.652962515114873,0.830143540669857
"30","Sonar","KNN","Phantom",10,0.689655172413793,0.909090909090909,0.731707317073171,0.784313725490196,0.446625766871166,0.843301435406699
"31","Sonar","KNN","basic",11,0.80952380952381,0.772727272727273,0.780487804878049,0.790697674418605,0.560190703218117,0.891148325358852
"32","Sonar","KNN","SMOTE",11,0.761904761904762,0.727272727272727,0.731707317073171,0.744186046511628,0.462455303933254,0.805023923444976
