"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Sonar","lr","basic",1,0.717948717948718,0.848484848484849,0.741935483870968,0.777777777777778,0.475132275132275,0.770114942528736
"2","Sonar","lr","SMOTE",1,0.714285714285714,0.757575757575758,0.709677419354839,0.735294117647059,0.414480587618048,0.764890282131661
"3","Sonar","lr","Phantom",1,0.84375,0.818181818181818,0.82258064516129,0.830769230769231,0.644421272158499,0.832810867293626
"4","Sonar","lr","basic",2,0.766666666666667,0.696969696969697,0.725806451612903,0.73015873015873,0.452751817237799,0.741901776384535
"5","Sonar","lr","SMOTE",2,0.793103448275862,0.696969696969697,0.741935483870968,0.741935483870968,0.486010362694301,0.767502612330198
"6","Sonar","lr","Phantom",2,0.818181818181818,0.818181818181818,0.806451612903226,0.818181818181818,0.61128526645768,0.800940438871473
"7","Sonar","lr","basic",3,0.806451612903226,0.757575757575758,0.774193548387097,0.78125,0.548387096774194,0.82601880877743
"8","Sonar","lr","SMOTE",3,0.757575757575758,0.757575757575758,0.741935483870968,0.757575757575758,0.48171368861024,0.771682340647858
"9","Sonar","lr","Phantom",3,0.815789473684211,0.939393939393939,0.854838709677419,0.873239436619718,0.705385427666315,0.866248693834901
"10","Sonar","lr","basic",4,0.694444444444445,0.757575757575758,0.693548387096774,0.72463768115942,0.380651945320715,0.679205851619645
"11","Sonar","lr","SMOTE",4,0.694444444444445,0.757575757575758,0.693548387096774,0.72463768115942,0.380651945320715,0.699582027168234
"12","Sonar","lr","Phantom",4,0.828571428571429,0.878787878787879,0.838709677419355,0.852941176470588,0.674711437565582,0.849007314524556
"13","Sonar","lr","basic",5,0.65625,0.636363636363636,0.629032258064516,0.646153846153846,0.256517205422315,0.664576802507837
"14","Sonar","lr","SMOTE",5,0.6,0.545454545454545,0.564516129032258,0.571428571428571,0.130841121495327,0.660919540229885
"15","Sonar","lr","Phantom",5,0.8125,0.787878787878788,0.790322580645161,0.8,0.579770594369134,0.819226750261233
"16","Sonar","lr","basic",6,0.696969696969697,0.696969696969697,0.67741935483871,0.696969696969697,0.3521421107628,0.703239289446186
"17","Sonar","lr","SMOTE",6,0.676470588235294,0.696969696969697,0.661290322580645,0.686567164179105,0.318324607329843,0.6760710553814
"18","Sonar","lr","Phantom",6,0.861111111111111,0.939393939393939,0.887096774193548,0.898550724637681,0.771819137749737,0.899686520376176
"19","Sonar","lr","basic",7,0.692307692307692,0.818181818181818,0.709677419354839,0.75,0.40952380952381,0.745036572622779
"20","Sonar","lr","SMOTE",7,0.638888888888889,0.696969696969697,0.629032258064516,0.666666666666667,0.250262881177708,0.653082549634274
"21","Sonar","lr","Phantom",7,0.935483870967742,0.878787878787879,0.903225806451613,0.90625,0.806451612903226,0.902298850574713
"22","Sonar","lr","basic",8,0.84375,0.818181818181818,0.82258064516129,0.830769230769231,0.644421272158499,0.869383490073145
"23","Sonar","lr","SMOTE",8,0.848484848484849,0.848484848484849,0.838709677419355,0.848484848484849,0.6760710553814,0.855799373040752
"24","Sonar","lr","Phantom",8,0.848484848484849,0.848484848484849,0.838709677419355,0.848484848484849,0.6760710553814,0.842737722048067
"25","Sonar","lr","basic",9,0.714285714285714,0.909090909090909,0.758064516129032,0.8,0.504792332268371,0.778474399164054
"26","Sonar","lr","SMOTE",9,0.69047619047619,0.878787878787879,0.725806451612903,0.773333333333333,0.438764643237487,0.79153605015674
"27","Sonar","lr","Phantom",9,0.848484848484849,0.848484848484849,0.838709677419355,0.848484848484849,0.6760710553814,0.858934169278997
"28","Sonar","lr","basic",10,0.692307692307692,0.818181818181818,0.709677419354839,0.75,0.40952380952381,0.732497387669801
"29","Sonar","lr","SMOTE",10,0.627906976744186,0.818181818181818,0.645161290322581,0.710526315789474,0.272145144076841,0.710031347962382
"30","Sonar","lr","Phantom",10,0.756756756756757,0.848484848484849,0.774193548387097,0.8,0.542676501580611,0.765935214211076
"31","Sonar","lr","basic",11,0.742857142857143,0.787878787878788,0.741935483870968,0.764705882352941,0.479538300104932,0.774817136886102
"32","Sonar","lr","SMOTE",11,0.764705882352941,0.787878787878788,0.758064516129032,0.776119402985075,0.513089005235602,0.788923719958203
"33","Sonar","lr","Phantom",11,0.818181818181818,0.818181818181818,0.806451612903226,0.818181818181818,0.61128526645768,0.816614420062696
"34","Sonar","lr","basic",12,0.609756097560976,0.757575757575758,0.612903225806452,0.675675675675676,0.209351753453773,0.594566353187043
"35","Sonar","lr","SMOTE",12,0.6,0.727272727272727,0.596774193548387,0.657534246575343,0.178154825026511,0.61337513061651
"36","Sonar","lr","Phantom",12,0.818181818181818,0.818181818181818,0.806451612903226,0.818181818181818,0.61128526645768,0.804075235109718
"37","Sonar","lr","basic",13,0.702702702702703,0.787878787878788,0.709677419354839,0.742857142857143,0.412012644889357,0.724137931034483
"38","Sonar","lr","SMOTE",13,0.685714285714286,0.727272727272727,0.67741935483871,0.705882352941176,0.349422875131165,0.707419017763845
"39","Sonar","lr","Phantom",13,0.878787878787879,0.878787878787879,0.870967741935484,0.878787878787879,0.74085684430512,0.90282131661442
"40","Sonar","lr","basic",14,0.648648648648649,0.727272727272727,0.645161290322581,0.685714285714286,0.281348788198103,0.727795193312435
"41","Sonar","lr","SMOTE",14,0.657142857142857,0.696969696969697,0.645161290322581,0.676470588235294,0.284365162644281,0.707941483803553
"42","Sonar","lr","Phantom",14,0.928571428571428,0.787878787878788,0.854838709677419,0.852459016393442,0.711478800413651,0.893416927899687
"43","Sonar","lr","basic",15,0.692307692307692,0.545454545454545,0.629032258064516,0.610169491525424,0.265705458290422,0.718390804597701
