"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Sonar","tree","basic",1,0.666666666666667,0.727272727272727,0.661290322580645,0.695652173913043,0.315457413249211,0.726227795193312
"2","Sonar","tree","SMOTE",1,0.75,0.636363636363636,0.693548387096774,0.688524590163935,0.390899689762151,0.719435736677116
"3","Sonar","tree","Phantom",1,0.838709677419355,0.787878787878788,0.806451612903226,0.8125,0.612903225806452,0.784221525600836
"4","Sonar","tree","basic",2,0.787878787878788,0.787878787878788,0.774193548387097,0.787878787878788,0.54649947753396,0.806165099268548
"5","Sonar","tree","SMOTE",2,0.777777777777778,0.636363636363636,0.709677419354839,0.7,0.424148606811146,0.712121212121212
"6","Sonar","tree","Phantom",2,0.807692307692308,0.636363636363636,0.725806451612903,0.711864406779661,0.457260556127703,0.723092998955068
"7","Sonar","tree","basic",3,0.625,0.606060606060606,0.596774193548387,0.615384615384615,0.191866527632951,0.595611285266458
"8","Sonar","tree","SMOTE",3,0.71875,0.696969696969697,0.693548387096774,0.707692307692308,0.385818561001043,0.679205851619645
"9","Sonar","tree","Phantom",3,0.90625,0.878787878787879,0.887096774193548,0.892307692307692,0.773722627737226,0.891849529780564
"10","Sonar","tree","basic",4,0.736842105263158,0.848484848484849,0.758064516129032,0.788732394366197,0.508975712777191,0.723092998955068
"11","Sonar","tree","SMOTE",4,0.851851851851852,0.696969696969697,0.774193548387097,0.766666666666667,0.552115583075335,0.753918495297806
"12","Sonar","tree","Phantom",4,0.909090909090909,0.909090909090909,0.903225806451613,0.909090909090909,0.80564263322884,0.914315569487983
"13","Sonar","tree","basic",5,0.633333333333333,0.575757575757576,0.596774193548387,0.603174603174603,0.195223260643822,0.59508881922675
"14","Sonar","tree","SMOTE",5,0.67741935483871,0.636363636363636,0.645161290322581,0.65625,0.290322580645161,0.636886102403344
"15","Sonar","tree","Phantom",5,0.777777777777778,0.636363636363636,0.709677419354839,0.7,0.424148606811146,0.678683385579937
"16","Sonar","tree","basic",6,0.783783783783784,0.878787878787879,0.806451612903226,0.828571428571429,0.608008429926238,0.799373040752351
"17","Sonar","tree","SMOTE",6,0.657894736842105,0.757575757575758,0.661290322580645,0.704225352112676,0.312565997888068,0.602925809822362
"18","Sonar","tree","Phantom",6,0.8,0.727272727272727,0.758064516129032,0.761904761904762,0.517133956386293,0.736154649947753
"19","Sonar","tree","basic",7,0.586206896551724,0.515151515151515,0.548387096774194,0.548387096774194,0.100518134715026,0.515151515151515
"20","Sonar","tree","SMOTE",7,0.733333333333333,0.666666666666667,0.693548387096774,0.698412698412698,0.388369678089304,0.610762800417973
"21","Sonar","tree","Phantom",7,0.793103448275862,0.696969696969697,0.741935483870968,0.741935483870968,0.486010362694301,0.764367816091954
"22","Sonar","tree","basic",8,0.65625,0.636363636363636,0.629032258064516,0.646153846153846,0.256517205422315,0.677115987460815
"23","Sonar","tree","SMOTE",8,0.807692307692308,0.636363636363636,0.725806451612903,0.711864406779661,0.457260556127703,0.729362591431557
"24","Sonar","tree","Phantom",8,0.923076923076923,0.727272727272727,0.82258064516129,0.813559322033898,0.648815653964985,0.867293625914316
"25","Sonar","tree","basic",9,0.67741935483871,0.636363636363636,0.645161290322581,0.65625,0.290322580645161,0.635318704284222
"26","Sonar","tree","SMOTE",9,0.814814814814815,0.666666666666667,0.741935483870968,0.733333333333333,0.488132094943241,0.734064785788924
"27","Sonar","tree","Phantom",9,0.827586206896552,0.727272727272727,0.774193548387097,0.774193548387097,0.550259067357513,0.797805642633229
"28","Sonar","tree","basic",10,0.742857142857143,0.787878787878788,0.741935483870968,0.764705882352941,0.479538300104932,0.796760710553814
"29","Sonar","tree","SMOTE",10,0.764705882352941,0.787878787878788,0.758064516129032,0.776119402985075,0.513089005235602,0.721525600835946
"30","Sonar","tree","Phantom",10,0.810810810810811,0.909090909090909,0.838709677419355,0.857142857142857,0.673340358271865,0.864158829676071
"31","Sonar","tree","basic",11,0.666666666666667,0.787878787878788,0.67741935483871,0.722222222222222,0.343915343915344,0.665621734587252
"32","Sonar","tree","SMOTE",11,0.733333333333333,0.666666666666667,0.693548387096774,0.698412698412698,0.388369678089304,0.706896551724138
"33","Sonar","tree","Phantom",11,0.735294117647059,0.757575757575758,0.725806451612903,0.746268656716418,0.448167539267016,0.770637408568443
