"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Spambase","KNN","basic",1,0.887240356083086,0.825966850828729,0.890097932535365,0.855507868383405,0.767016488743527,0.953842109961614
"2","Spambase","KNN","SMOTE",1,0.871934604904632,0.883977900552486,0.903155603917301,0.877914951989026,0.797668728957582,0.938725611751986
"3","Spambase","KNN","Phantom",1,0.885057471264368,0.850828729281768,0.897714907508161,0.867605633802817,0.784325082763683,0.955932531219933
"4","Spambase","KNN","basic",2,0.926900584795322,0.875690607734807,0.923830250272035,0.900568181818182,0.838920494381122,0.965953162661059
"5","Spambase","KNN","SMOTE",2,0.896648044692738,0.886740331491713,0.91512513601741,0.891666666666667,0.821902764802926,0.95040766934148
"6","Spambase","KNN","Phantom",2,0.926900584795322,0.875690607734807,0.923830250272035,0.900568181818182,0.838920494381122,0.967235188509874
"7","Spambase","KNN","basic",3,0.902298850574713,0.867403314917127,0.910772578890098,0.884507042253521,0.811858050921511,0.959654621740381
"8","Spambase","KNN","SMOTE",3,0.884180790960452,0.864640883977901,0.902067464635473,0.874301675977654,0.794104175172016,0.933994266839918
"9","Spambase","KNN","Phantom",3,0.894886363636364,0.870165745856354,0.908596300326442,0.882352941176471,0.807643813634076,0.962136842000853
"10","Spambase","KNN","basic",4,0.890449438202247,0.875690607734807,0.908596300326442,0.883008356545961,0.808016951091525,0.962364978128689
"11","Spambase","KNN","SMOTE",4,0.875,0.889502762430939,0.906420021762786,0.882191780821918,0.804583149951291,0.947258398881141
"12","Spambase","KNN","Phantom",4,0.868632707774799,0.895027624309392,0.905331882480958,0.881632653061225,0.802786294470084,0.963027068847516
"13","Spambase","KNN","basic",5,0.867036011080332,0.864640883977901,0.894450489662677,0.865836791147994,0.77884154979371,0.952547685410199
"14","Spambase","KNN","SMOTE",5,0.839473684210526,0.88121546961326,0.88683351468988,0.859838274932615,0.765041373918943,0.943330489897537
"15","Spambase","KNN","Phantom",5,0.859838274932615,0.88121546961326,0.896626768226333,0.870395634379263,0.784444340197964,0.950777150678953
