"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Spambase","lr","basic",1,0.92090395480226,0.900552486187845,0.930359085963003,0.910614525139665,0.853585191233433,0.972241784619657
"2","Spambase","lr","SMOTE",1,0.903047091412742,0.900552486187845,0.922742110990207,0.90179806362379,0.838121134385087,0.972226906176538
"3","Spambase","lr","Phantom",1,0.913649025069638,0.906077348066298,0.929270946681175,0.909847434119279,0.851657507269986,0.971403632323914
"4","Spambase","lr","basic",2,0.913544668587896,0.875690607734807,0.918389553862894,0.894217207334274,0.827835131374846,0.971175496196078
"5","Spambase","lr","SMOTE",2,0.899441340782123,0.889502762430939,0.917301414581066,0.894444444444444,0.82646936057721,0.969801719948025
"6","Spambase","lr","Phantom",2,0.901129943502825,0.88121546961326,0.91512513601741,0.891061452513967,0.821556951815747,0.971354037513515
"7","Spambase","lr","basic",3,0.934472934472935,0.906077348066298,0.9379760609358,0.920056100981767,0.869409133856697,0.96799150936846
"8","Spambase","lr","SMOTE",3,0.932551319648094,0.878453038674033,0.927094668117519,0.904694167852063,0.845748585199901,0.964162790005654
"9","Spambase","lr","Phantom",3,0.936599423631124,0.897790055248619,0.935799782372144,0.916784203102962,0.864563636681546,0.968137814059137
"10","Spambase","lr","basic",4,0.912087912087912,0.917127071823204,0.932535364526659,0.914600550964187,0.858845854659142,0.979988494003987
"11","Spambase","lr","SMOTE",4,0.905149051490515,0.922651933701657,0.931447225244831,0.913816689466484,0.856914784508431,0.978232837715861
"12","Spambase","lr","Phantom",4,0.902439024390244,0.919889502762431,0.929270946681175,0.911080711354309,0.852372396715048,0.979809952686551
"13","Spambase","lr","basic",5,0.920679886685552,0.897790055248619,0.929270946681175,0.909090909090909,0.851225240527704,0.973903210768025
"14","Spambase","lr","SMOTE",5,0.911845730027548,0.914364640883978,0.931447225244831,0.913103448275862,0.85649985252675,0.971978932124542
"15","Spambase","lr","Phantom",5,0.915309446254072,0.776243093922652,0.883569096844396,0.840059790732436,0.749497507279457,0.864782229187538
"16","Spambase","lr","basic",6,0.908831908831909,0.88121546961326,0.918389553862894,0.894810659186536,0.828169912969339,0.957727863356378
"17","Spambase","lr","SMOTE",6,0.894736842105263,0.892265193370166,0.916213275299238,0.893499308437068,0.824441230248615,0.956795480920876
"18","Spambase","lr","Phantom",6,0.891304347826087,0.906077348066298,0.919477693144722,0.898630136986301,0.831850617399948,0.957048414453912
"19","Spambase","lr","basic",7,0.923728813559322,0.903314917127072,0.932535364526659,0.91340782122905,0.858160654007389,0.97208308122638
"20","Spambase","lr","SMOTE",7,0.92090395480226,0.900552486187845,0.930359085963003,0.910614525139665,0.853585191233433,0.972256663062777
"21","Spambase","lr","Phantom",7,0.923295454545454,0.897790055248619,0.930359085963003,0.910364145658263,0.853442905625963,0.972960909370443
"22","Spambase","lr","basic",8,0.928977272727273,0.903314917127072,0.934711643090316,0.915966386554622,0.86260272402434,0.969652935516828
"23","Spambase","lr","SMOTE",8,0.923913043478261,0.704419889502762,0.860718171926007,0.799373040752351,0.69564654927063,0.833358957318706
"24","Spambase","lr","Phantom",8,0.918767507002801,0.906077348066298,0.931447225244831,0.912378303198887,0.856082507028459,0.968457700586211
"25","Spambase","lr","basic",9,0.918767507002801,0.906077348066298,0.931447225244831,0.912378303198887,0.856082507028459,0.972385609569815
"26","Spambase","lr","SMOTE",9,0.92112676056338,0.903314917127072,0.931447225244831,0.912133891213389,0.855942851882171,0.973218802384519
