"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Spambase","nb","basic",1,0.584873949579832,0.961325966850829,0.715995647442873,0.727272727272727,0.465439277205635,0.889795371812294
"2","Spambase","nb","SMOTE",1,0.57,0.94475138121547,0.697497279651795,0.711018711018711,0.431855683400122,0.86777031651408
"3","Spambase","nb","Phantom",1,0.589437819420784,0.955801104972376,0.720348204570185,0.729188619599579,0.471795376423202,0.894452324508763
"4","Spambase","nb","basic",2,0.583050847457627,0.950276243093923,0.712731229597388,0.722689075630252,0.458117428438695,0.894772211035837
"5","Spambase","nb","SMOTE",2,0.578151260504202,0.950276243093923,0.707290533188248,0.718913270637409,0.449054274208106,0.883233978396501
"6","Spambase","nb","Phantom",2,0.590051457975986,0.950276243093923,0.720348204570185,0.728042328042328,0.470872361732491,0.898769552754
"7","Spambase","nb","basic",3,0.491758241758242,0.988950276243094,0.5930359085963,0.656880733944954,0.275856547516212,0.94885039229495
"8","Spambase","nb","SMOTE",3,0.47562582345191,0.997237569060773,0.565832426550599,0.644067796610169,0.237166698218993,0.910528482299612
"9","Spambase","nb","Phantom",3,0.509272467902996,0.986187845303867,0.620239390642002,0.671683913452493,0.316682041787661,0.955895335112134
"10","Spambase","nb","basic",4,0.594076655052265,0.941988950276243,0.723612622415669,0.728632478632479,0.474984705628329,0.884121725502643
"11","Spambase","nb","SMOTE",4,0.590277777777778,0.939226519337017,0.719260065288357,0.724946695095949,0.46718412217583,0.829178114802067
"12","Spambase","nb","Phantom",4,0.597902097902098,0.94475138121547,0.727965179542981,0.732334047109208,0.482798986083409,0.890100379896248
"13","Spambase","nb","basic",5,0.590277777777778,0.939226519337017,0.719260065288357,0.724946695095949,0.46718412217583,0.89308350774175
"14","Spambase","nb","SMOTE",5,0.58477508650519,0.933701657458563,0.712731229597388,0.719148936170213,0.455270460811697,0.8336565261811
"15","Spambase","nb","Phantom",5,0.597539543057997,0.939226519337017,0.726877040261153,0.730397422126745,0.480045442967498,0.898412470119127
"16","Spambase","nb","basic",6,0.575,0.953038674033149,0.704026115342764,0.717255717255717,0.444117790952637,0.881545275102413
"17","Spambase","nb","SMOTE",6,0.567434210526316,0.953038674033149,0.695321001088139,0.711340206185567,0.429746608220053,0.83624289554341
"18","Spambase","nb","Phantom",6,0.587030716723549,0.950276243093923,0.717083786724701,0.725738396624473,0.465396421955127,0.884667268417033
"19","Spambase","nb","basic",7,0.589134125636672,0.958563535911602,0.720348204570185,0.729758149316509,0.472255677234975,0.898638126506442
"20","Spambase","nb","SMOTE",7,0.583193277310924,0.958563535911602,0.713819368879216,0.725182863113898,0.461343026456253,0.871782536675362
"21","Spambase","nb","Phantom",7,0.598275862068966,0.958563535911602,0.730141458106638,0.736730360934183,0.488732059455603,0.900740946467362
"22","Spambase","nb","basic",8,0.493150684931507,0.994475138121547,0.595212187159956,0.659340659340659,0.280320317960205,0.957070732118591
"23","Spambase","nb","SMOTE",8,0.473061760840999,0.994475138121547,0.561479869423286,0.641139804096171,0.23014386589977,0.915111042780483
"24","Spambase","nb","Phantom",8,0.507823613086771,0.986187845303867,0.618063112078346,0.670422535211268,0.313336725114579,0.954432288205362
"25","Spambase","nb","basic",9,0.579034941763727,0.961325966850829,0.709466811751904,0.722741433021807,0.45457273497187,0.894144836684289
"26","Spambase","nb","SMOTE",9,0.570491803278689,0.961325966850829,0.699673558215452,0.716049382716049,0.438378488490528,0.830095618794449
"27","Spambase","nb","Phantom",9,0.584873949579832,0.961325966850829,0.715995647442873,0.727272727272727,0.465439277205635,0.894660622712439
"28","Spambase","nb","basic",10,0.485791610284168,0.99171270718232,0.583242655059848,0.652134423251589,0.261766883466902,0.948019679220766
"29","Spambase","nb","SMOTE",10,0.477513227513227,0.997237569060773,0.569096844396083,0.645796064400715,0.241979762465163,0.935578821032167
"30","Spambase","nb","Phantom",10,0.504249291784703,0.983425414364641,0.612622415669206,0.666666666666667,0.304421407128339,0.954841445391154
"31","Spambase","nb","basic",11,0.58147512864494,0.93646408839779,0.709466811751904,0.717460317460317,0.45028373767539,0.873617544660127
"32","Spambase","nb","SMOTE",11,0.575809199318569,0.933701657458563,0.702937976060936,0.712328767123288,0.438911041881456,0.843367190057232
"33","Spambase","nb","Phantom",11,0.587328767123288,0.947513812154696,0.717083786724701,0.725158562367865,0.464929527631349,0.888004999156888
