"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","Wine","KNN","basic",1,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.985714285714286
"2","Wine","KNN","SMOTE",1,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.985714285714286
"3","Wine","KNN","Phantom",1,1,1,1,1,1,1
"4","Wine","KNN","basic",2,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"5","Wine","KNN","SMOTE",2,1,1,1,1,1,1
"6","Wine","KNN","Phantom",2,1,1,1,1,1,1
"7","Wine","KNN","basic",3,0.894736842105263,1,0.961538461538462,0.944444444444444,0.915171288743883,0.99327731092437
"8","Wine","KNN","SMOTE",3,0.894736842105263,1,0.961538461538462,0.944444444444444,0.915171288743883,0.983193277310924
"9","Wine","KNN","Phantom",3,1,1,1,1,1,1
"10","Wine","KNN","basic",4,0.80952380952381,1,0.923076923076923,0.894736842105263,0.835182250396197,0.985714285714286
"11","Wine","KNN","SMOTE",4,0.80952380952381,1,0.923076923076923,0.894736842105263,0.835182250396197,0.985714285714286
"12","Wine","KNN","Phantom",4,1,1,1,1,1,1
"13","Wine","KNN","basic",5,1,1,1,1,1,1
"14","Wine","KNN","SMOTE",5,1,1,1,1,1,1
"15","Wine","KNN","Phantom",5,1,1,1,1,1,1
"16","Wine","KNN","basic",6,0.894736842105263,1,0.961538461538462,0.944444444444444,0.915171288743883,1
"17","Wine","KNN","SMOTE",6,0.85,1,0.942307692307692,0.918918918918919,0.87459807073955,0.971428571428571
"18","Wine","KNN","Phantom",6,1,1,1,1,1,1
"19","Wine","KNN","basic",7,1,1,1,1,1,1
"20","Wine","KNN","SMOTE",7,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"21","Wine","KNN","Phantom",7,1,1,1,1,1,1
"22","Wine","KNN","basic",8,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"23","Wine","KNN","SMOTE",8,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.985714285714286
"24","Wine","KNN","Phantom",8,1,1,1,1,1,1
"25","Wine","KNN","basic",9,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"26","Wine","KNN","SMOTE",9,1,1,1,1,1,1
"27","Wine","KNN","Phantom",9,1,1,1,1,1,1
"28","Wine","KNN","basic",10,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"29","Wine","KNN","SMOTE",10,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,0.985714285714286
"30","Wine","KNN","Phantom",10,1,1,1,1,1,1
"31","Wine","KNN","basic",11,0.944444444444445,1,0.980769230769231,0.971428571428571,0.956953642384106,1
"32","Wine","KNN","SMOTE",11,0.85,1,0.942307692307692,0.918918918918919,0.87459807073955,0.985714285714286
