"","datasetName","algorithm","technique","testNumber","precision","recall","accuracy","Fmeasure","kappa","AUC"
"1","iris","KNN","basic",1,1,1,1,1,1,1
"2","iris","KNN","SMOTE",1,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,1
"3","iris","KNN","Phantom",1,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,1
"4","iris","KNN","basic",2,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,0.997777777777778
"5","iris","KNN","SMOTE",2,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,0.982222222222222
"6","iris","KNN","Phantom",2,1,1,1,1,1,1
"7","iris","KNN","basic",3,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,1
"8","iris","KNN","SMOTE",3,0.928571428571429,0.866666666666667,0.9,0.896551724137931,0.8,0.953333333333333
"9","iris","KNN","Phantom",3,1,1,1,1,1,1
"10","iris","KNN","basic",4,1,0.866666666666667,0.933333333333333,0.928571428571429,0.866666666666667,1
"11","iris","KNN","SMOTE",4,1,0.866666666666667,0.933333333333333,0.928571428571429,0.866666666666667,0.966666666666667
"12","iris","KNN","Phantom",4,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,0.995555555555556
"13","iris","KNN","basic",5,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.866666666666667,0.995555555555556
"14","iris","KNN","SMOTE",5,0.928571428571429,0.866666666666667,0.9,0.896551724137931,0.8,0.953333333333333
"15","iris","KNN","Phantom",5,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,0.988888888888889
"16","iris","KNN","basic",6,1,1,1,1,1,1
"17","iris","KNN","SMOTE",6,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,1
"18","iris","KNN","Phantom",6,1,1,1,1,1,1
"19","iris","KNN","basic",7,1,1,1,1,1,1
"20","iris","KNN","SMOTE",7,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,1
"21","iris","KNN","Phantom",7,1,1,1,1,1,1
"22","iris","KNN","basic",8,1,0.866666666666667,0.933333333333333,0.928571428571429,0.866666666666667,1
"23","iris","KNN","SMOTE",8,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,0.997777777777778
"24","iris","KNN","Phantom",8,1,1,1,1,1,1
"25","iris","KNN","basic",9,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,1
"26","iris","KNN","SMOTE",9,0.9375,1,0.966666666666667,0.967741935483871,0.933333333333333,0.966666666666667
"27","iris","KNN","Phantom",9,1,1,1,1,1,1
"28","iris","KNN","basic",10,0.857142857142857,0.8,0.833333333333333,0.827586206896552,0.666666666666667,0.971111111111111
"29","iris","KNN","SMOTE",10,0.857142857142857,0.8,0.833333333333333,0.827586206896552,0.666666666666667,0.917777777777778
"30","iris","KNN","Phantom",10,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.866666666666667,0.977777777777778
"31","iris","KNN","basic",11,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,0.995555555555556
"32","iris","KNN","SMOTE",11,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,0.966666666666667
"33","iris","KNN","Phantom",11,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,1
"34","iris","KNN","basic",12,0.882352941176471,1,0.933333333333333,0.9375,0.866666666666667,0.995555555555556
"35","iris","KNN","SMOTE",12,0.933333333333333,0.933333333333333,0.933333333333333,0.933333333333333,0.866666666666667,0.986666666666667
"36","iris","KNN","Phantom",12,1,0.933333333333333,0.966666666666667,0.96551724137931,0.933333333333333,0.984444444444444
